""	source	type	score	phase	gene_id	gene_type	gene_status	gene_name	level	havana_gene	transcript_id	transcript_type	transcript_status	transcript_name	transcript_support_level	tag	havana_transcript	exon_number	exon_id	ont	protein_id	ccdsid	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENST00000325686.6	HAVANA	transcript			ENSG00000179630.10	protein_coding	KNOWN	LACC1	2	OTTHUMG00000016826.4	ENST00000325686.6	protein_coding	KNOWN	LACC1-001	1	CCDS	OTTHUMT00000044726.3				ENSP00000317619.5	CCDS9391.1	0.483481268824281	4.37171784016597	6.7916961642769	1.01237724727619e-10	6.10803985265035e-08	13.7005196115628	0.125824375146125
ENST00000579701.1	HAVANA	transcript			ENSG00000266504.1	transcribed_unprocessed_pseudogene	KNOWN	RP11-798G7.4	2	OTTHUMG00000179213.1	ENST00000579701.1	transcribed_unprocessed_pseudogene	KNOWN	RP11-798G7.4-001	NA	basic	OTTHUMT00000445302.1			PGO:0000019			0.795990761354256	-1.26951528741451	6.78956606836917	1.02481767314597e-10	6.10803985265035e-08	13.7506506595132	0.0650992136088622
ENST00000582765.1	HAVANA	transcript			ENSG00000266497.1	unprocessed_pseudogene	KNOWN	RP11-995C19.2	2	OTTHUMG00000179214.1	ENST00000582765.1	unprocessed_pseudogene	KNOWN	RP11-995C19.2-001	NA	basic	OTTHUMT00000445303.1			PGO:0000005			0.795990761354256	-1.26951528741451	6.78956606836917	1.02481767314597e-10	6.10803985265035e-08	13.7506506595132	0.188892924166228
ENST00000517935.1	HAVANA	transcript			ENSG00000253492.1	unprocessed_pseudogene	KNOWN	CDH12P3	2	OTTHUMG00000162449.3	ENST00000517935.1	unprocessed_pseudogene	KNOWN	CDH12P3-001	NA	basic	OTTHUMT00000369086.2			PGO:0000005			0.513081838566471	-0.38600213692464	6.78562859108264	1.04821112912519e-10	6.17127910741181e-08	13.9507697265591	0.181382417241593
ENST00000518435.1	HAVANA	transcript			ENSG00000254335.1	unprocessed_pseudogene	KNOWN	CDH12P1	2	OTTHUMG00000164541.1	ENST00000518435.1	unprocessed_pseudogene	KNOWN	CDH12P1-001	NA	basic	OTTHUMT00000368952.2			PGO:0000005			0.513081838566471	-0.38600213692464	6.78562859108264	1.04821112912519e-10	6.17127910741181e-08	13.9507697265591	0.120676904746087
ENST00000394409.7	HAVANA	transcript			ENSG00000156475.18	protein_coding	KNOWN	PPP2R2B	2	OTTHUMG00000163381.10	ENST00000394409.7	protein_coding	KNOWN	PPP2R2B-002	1	appris_principal_1	OTTHUMT00000251893.3				ENSP00000377931.4		0.287138800369225	6.90243356924216	6.77458276724058	1.11667838699182e-10	6.53453121076414e-08	13.2346691914252	0.235053693893928
ENST00000304751.9	HAVANA	transcript			ENSG00000215241.3	lincRNA	KNOWN	RP11-266K4.9	2	OTTHUMG00000168640.1	ENST00000304751.9	lincRNA	KNOWN	RP11-266K4.9-001	1	basic	OTTHUMT00000400464.1						0.446262818431659	2.68082125223192	6.7652800513706	1.17774047612612e-10	6.85033457420969e-08	13.7579756970448	0.405047031513923
ENST00000416931.1	HAVANA	transcript			ENSG00000225972.1	unprocessed_pseudogene	KNOWN	MTND1P23	2	OTTHUMG00000002338.1	ENST00000416931.1	unprocessed_pseudogene	KNOWN	MTND1P23-001	NA	basic	OTTHUMT00000006720.1			PGO:0000005			-3.19387033128582	1.68428514174169	-6.76348206351329	1.18991560205179e-10	6.87970724793467e-08	13.8430203377073	0.117783995264976
ENST00000511830.2	HAVANA	transcript			ENSG00000179978.11	unprocessed_pseudogene	KNOWN	RP11-1319K7.1	2	OTTHUMG00000162450.4	ENST00000511830.2	unprocessed_pseudogene	KNOWN	RP11-1319K7.1-001	NA	basic	OTTHUMT00000368959.3			PGO:0000005			0.737978428369425	3.7277751738672	6.75486833478821	1.249983250274e-10	7.15205094532474e-08	13.5799512787522	0.257333880158117
ENST00000412962.3	HAVANA	transcript			ENSG00000215908.9	transcribed_unprocessed_pseudogene	KNOWN	CROCCP2	2	OTTHUMG00000037884.7	ENST00000412962.3	transcribed_unprocessed_pseudogene	KNOWN	CROCCP2-005	NA	basic	OTTHUMT00000485179.2			PGO:0000019			-0.488996212183086	2.00947050628327	-6.75413844407211	1.25520814983791e-10	7.15205094532474e-08	13.7584525532007	0.0881931155723417
ENST00000572638.1	HAVANA	transcript			ENSG00000238083.7	protein_coding	KNOWN	LRRC37A2	2	OTTHUMG00000178032.2	ENST00000572638.1	retained_intron	KNOWN	LRRC37A2-002	2		OTTHUMT00000440300.1						0.55551805246911	3.92045158276717	6.75357695858537	1.25924214502269e-10	7.15205094532474e-08	13.5492604613556	0.0440239784855722
ENST00000394456.9	HAVANA	transcript			ENSG00000125651.13	protein_coding	KNOWN	GTF2F1	2	OTTHUMG00000168087.3	ENST00000394456.9	protein_coding	KNOWN	GTF2F1-001	1	CCDS	OTTHUMT00000398033.1				ENSP00000377969.3	CCDS12165.1	0.165653669100195	5.25267025550097	6.75071979966791	1.2799678618623e-10	7.22725245229545e-08	13.3563972336064	0.171917801783324
ENST00000543626.4	HAVANA	transcript			ENSG00000231887.6	protein_coding	KNOWN	PRH1	2	OTTHUMG00000186774.3	ENST00000543626.4	protein_coding	KNOWN	PRH1-001	5	CCDS	OTTHUMT00000473751.3				ENSP00000479168.1	CCDS76533.1	-0.948734690277572	-1.24404836788431	-6.73958276613573	1.36400830681085e-10	7.65700337533807e-08	13.5072714828369	0.0725507019834679
ENST00000412712.1	HAVANA	transcript			ENSG00000235092.5	antisense	KNOWN	ID2-AS1	2	OTTHUMG00000151625.1	ENST00000412712.1	antisense	KNOWN	ID2-AS1-001	5	basic	OTTHUMT00000323317.1						0.859139757127672	-0.754167372982343	6.73561964597052	1.39520514053124e-10	7.78685763808403e-08	13.6246436458324	0.305783755165502
ENST00000397272.7	HAVANA	transcript			ENSG00000168907.13	protein_coding	KNOWN	PLA2G4F	2	OTTHUMG00000172782.3	ENST00000397272.7	protein_coding	KNOWN	PLA2G4F-001	1	CCDS	OTTHUMT00000420463.2				ENSP00000380442.4	CCDS32204.1	0.570968275414318	1.31216806085796	6.73194472649391	1.42476004773442e-10	7.90610814074421e-08	13.6812802653405	0.0710751837484749
ENST00000624748.2	HAVANA	transcript			ENSG00000280071.3	protein_coding	KNOWN	CH507-9B2.3	2	OTTHUMG00000189357.3	ENST00000624748.2	processed_transcript	KNOWN	CH507-9B2.3-012	3		OTTHUMT00000479434.1						1.39211736665796	-1.55726260437445	6.72363948510228	1.49384130415497e-10	8.24207733036452e-08	13.1255741471015	0.101763228226087
ENST00000581622.1	HAVANA	transcript			ENSG00000266644.1	antisense	KNOWN	RP11-927P21.2	2	OTTHUMG00000179298.1	ENST00000581622.1	antisense	KNOWN	RP11-927P21.2-001	5	basic	OTTHUMT00000445610.1						0.841896142586542	-0.35493601383611	6.72153370229984	1.51187405635862e-10	8.29417543395741e-08	13.601525561911	0.098588673394007
ENST00000315580.9	HAVANA	transcript			ENSG00000182196.13	protein_coding	KNOWN	ARL6IP4	2	OTTHUMG00000168779.4	ENST00000315580.9	protein_coding	KNOWN	ARL6IP4-001	1	CCDS	OTTHUMT00000401031.3				ENSP00000313422.6	CCDS31923.2	0.842490326379777	1.06938504290644	6.71818541251402	1.5409888429662e-10	8.40613766913892e-08	13.6170938387781	0.358327710786539
ENST00000536668.2	HAVANA	transcript			ENSG00000275778.1	protein_coding	KNOWN	PRH1-PRR4	2	OTTHUMG00000186775.1	ENST00000536668.2	nonsense_mediated_decay	KNOWN	PRH1-PRR4-001	5	readthrough_transcript	OTTHUMT00000473754.1				ENSP00000482961.1		-0.698613793873308	1.14262948672963	-6.70826005459189	1.63057353974909e-10	8.81316363503674e-08	13.5593612463895	0.0365108642184577
ENST00000570248.5	HAVANA	transcript			ENSG00000103034.14	protein_coding	KNOWN	NDRG4	2	OTTHUMG00000133485.18	ENST00000570248.5	protein_coding	KNOWN	NDRG4-009	1	CCDS	OTTHUMT00000422671.2				ENSP00000457659.1	CCDS58466.1	0.388725654539542	7.08557070855419	6.70790632189023	1.63385907437452e-10	8.81316363503674e-08	12.8315652543865	0.148697132140063
ENST00000435634.2	HAVANA	transcript			ENSG00000223496.2	protein_coding	KNOWN	EXOSC6	2	OTTHUMG00000137578.1	ENST00000435634.2	protein_coding	KNOWN	EXOSC6-001	NA	CCDS	OTTHUMT00000268966.1				ENSP00000398597.1	CCDS10887.1	0.217203097783881	6.11419800875774	6.70425425446847	1.66816315650987e-10	8.94821252298075e-08	12.9694533363763	0.142055796245467
ENST00000306869.6	HAVANA	transcript			ENSG00000169738.7	protein_coding	KNOWN	DCXR	2	OTTHUMG00000178483.4	ENST00000306869.6	protein_coding	KNOWN	DCXR-001	1	CCDS	OTTHUMT00000442153.2				ENSP00000303356.2	CCDS11799.1	0.558064743129464	3.02350131730307	6.7027897647156	1.68211734568746e-10	8.97321315997278e-08	13.3787576081525	0.0389497576535546
ENST00000264451.11	HAVANA	transcript			ENSG00000014824.13	protein_coding	KNOWN	SLC30A9	2	OTTHUMG00000099387.4	ENST00000264451.11	protein_coding	KNOWN	SLC30A9-001	1	CCDS	OTTHUMT00000216842.3				ENSP00000264451.6	CCDS3465.1	-0.158180124252933	6.14481292264949	-6.69996191626688	1.70938779937738e-10	9.06858404291668e-08	12.9369329206995	0.0614631620891366
ENST00000337435.8	HAVANA	transcript			ENSG00000170113.15	protein_coding	KNOWN	NIPA1	2	OTTHUMG00000129099.4	ENST00000337435.8	protein_coding	KNOWN	NIPA1-001	1	CCDS	OTTHUMT00000251135.2				ENSP00000337452.4	CCDS73691.1	-0.286829637683351	6.86070700840113	-6.66179142128424	2.12292917678718e-10	1.12009455593175e-07	12.6138183322723	0.106084807906567
ENST00000317995.4	HAVANA	transcript			ENSG00000178538.9	protein_coding	KNOWN	CA8	2	OTTHUMG00000165325.1	ENST00000317995.4	protein_coding	KNOWN	CA8-001	1	CCDS	OTTHUMT00000383445.1				ENSP00000314407.4	CCDS6174.1	-0.377346468535066	3.7810298074309	-6.65999897368182	2.14459780093174e-10	1.12537769603893e-07	13.0447987417029	0.228917999641089
ENST00000587916.1	HAVANA	transcript			ENSG00000226752.8	processed_transcript	KNOWN	PSMD5-AS1	2	OTTHUMG00000020572.6	ENST00000587916.1	retained_intron	KNOWN	PSMD5-AS1-009	3	RNA_Seq_supported_only	OTTHUMT00000460647.1						-0.742615956892884	0.698088033216085	-6.65604244549117	2.19320052175931e-10	1.14466099015107e-07	13.2857646542239	0.102363489348033
ENST00000253329.2	HAVANA	transcript			ENSG00000131013.3	protein_coding	KNOWN	PPIL4	2	OTTHUMG00000015788.1	ENST00000253329.2	protein_coding	KNOWN	PPIL4-001	1	CCDS	OTTHUMT00000042642.1				ENSP00000253329.2	CCDS34550.1	0.176332992956042	5.16091686358645	6.65199599909991	2.24402798634742e-10	1.16489181824618e-07	12.8198673633011	0.0757238876195151
ENST00000568210.5	HAVANA	transcript			ENSG00000140474.12	protein_coding	KNOWN	ULK3	2	OTTHUMG00000173020.11	ENST00000568210.5	nonsense_mediated_decay	KNOWN	ULK3-012	2		OTTHUMT00000421904.2				ENSP00000456296.1		4.72096410911456	-3.65881720721824	6.65092153866911	2.25771779397673e-10	1.16573092983759e-07	9.00012451354785	0.10458659957684
ENST00000361445.8	HAVANA	transcript			ENSG00000198793.12	protein_coding	KNOWN	MTOR	2	OTTHUMG00000002001.3	ENST00000361445.8	protein_coding	KNOWN	MTOR-001	1	CCDS	OTTHUMT00000005558.1				ENSP00000354558.4	CCDS127.1	-0.117835634304005	6.86377527373098	-6.63264896981743	2.50350743569384e-10	1.2857641326914e-07	12.4550503482047	0.0238833073779926
ENST00000372666.1	HAVANA	transcript			ENSG00000182916.7	protein_coding	KNOWN	TCEAL7	2	OTTHUMG00000022096.1	ENST00000372666.1	protein_coding	KNOWN	TCEAL7-002	2	CCDS	OTTHUMT00000057705.1				ENSP00000361751.1	CCDS14506.1	-1.52941896232182	2.46110555115335	-6.63074867204337	2.53053158003739e-10	1.29276691099963e-07	13.0396047539469	0.0675485805874876
ENST00000615264.4	ENSEMBL	transcript			ENSG00000100911.14	protein_coding	KNOWN	PSME2	3	OTTHUMG00000028797.6	ENST00000615264.4	protein_coding	KNOWN	PSME2-201	5	basic					ENSP00000484569.1		1.33825950377021	1.47531770713954	6.6243932524217	2.62301243773496e-10	1.33295969954243e-07	13.0817391582781	0.0791552529196145
ENST00000568486.5	HAVANA	transcript			ENSG00000178081.12	transcribed_unprocessed_pseudogene	KNOWN	ULK4P3	2	OTTHUMG00000175637.1	ENST00000568486.5	processed_transcript	KNOWN	ULK4P3-002	1	basic	OTTHUMT00000430688.1						0.849985384892669	-0.545387211454046	6.61248095785889	2.80539208426923e-10	1.41817710630645e-07	13.0000100732716	0.0544613139640791
ENST00000458394.1	HAVANA	transcript			ENSG00000226752.8	processed_transcript	KNOWN	PSMD5-AS1	2	OTTHUMG00000020572.6	ENST00000458394.1	retained_intron	KNOWN	PSMD5-AS1-005	2		OTTHUMT00000053824.1						-0.664443597806608	2.24704512860519	-6.60946419215149	2.85352350019006e-10	1.43499535436121e-07	12.9411893580457	0.0382881789853482
ENST00000465868.5	HAVANA	transcript			ENSG00000163046.15	protein_coding	KNOWN	ANKRD30BL	2	OTTHUMG00000153491.3	ENST00000465868.5	processed_transcript	KNOWN	ANKRD30BL-006	2		OTTHUMT00000331357.1						0.742793529558792	-0.0501578333960984	6.5956388655794	3.08469159858352e-10	1.54320887362504e-07	12.9521059192616	0.1104148821527
ENST00000463049.5	HAVANA	transcript			ENSG00000198625.12	protein_coding	KNOWN	MDM4	2	OTTHUMG00000035877.4	ENST00000463049.5	processed_transcript	KNOWN	MDM4-002	5		OTTHUMT00000087416.1						-3.44134822410312	-2.79370713114621	-6.5940131058714	3.11305663399865e-10	1.54937149607786e-07	12.4081862772482	0.168377163098127
ENST00000619243.1	HAVANA	transcript			ENSG00000277288.3	protein_coding	KNOWN	C10orf142	2	OTTHUMG00000189253.2	ENST00000619243.1	protein_coding	KNOWN	C10orf142-001	2	CCDS	OTTHUMT00000479175.2				ENSP00000479444.1	CCDS73090.1	-0.925878132131354	-1.78744392631519	-6.58802107365983	3.21983244428435e-10	1.59429590679708e-07	12.3731793087533	0.314709101895775
ENST00000445552.6	HAVANA	transcript			ENSG00000185829.16	protein_coding	KNOWN	ARL17A	2	OTTHUMG00000132817.3	ENST00000445552.6	protein_coding	KNOWN	ARL17A-002	1	CCDS	OTTHUMT00000440301.1				ENSP00000416535.2	CCDS45717.1	0.744685486105023	0.170590417061574	6.58219516381258	3.32709670322181e-10	1.63900252593305e-07	12.8864128231975	0.103313985800219
ENST00000315147.8	HAVANA	transcript			ENSG00000249437.7	protein_coding	KNOWN	NAIP	2	OTTHUMG00000163318.7	ENST00000315147.8	retained_intron	KNOWN	NAIP-004	2		OTTHUMT00000379156.1						0.468214381611888	4.03799856554478	6.57835354755188	3.39974064519485e-10	1.66628709774692e-07	12.5616094943016	0.099622733775649
ENST00000623117.1	HAVANA	transcript			ENSG00000277232.2	lincRNA	KNOWN	GTSE1-AS1	2	OTTHUMG00000189497.1	ENST00000623117.1	lincRNA	KNOWN	GTSE1-AS1-001	NA	basic	OTTHUMT00000479798.1						0.456439061237231	-0.103671656302589	6.57471390631527	3.4700024804331e-10	1.68765891510854e-07	12.8373771786064	0.0808709711446631
ENST00000522480.5	HAVANA	transcript			ENSG00000180747.15	transcribed_unprocessed_pseudogene	KNOWN	SMG1P3	2	OTTHUMG00000164329.2	ENST00000522480.5	transcribed_unprocessed_pseudogene	KNOWN	SMG1P3-001	NA	basic	OTTHUMT00000378303.1			PGO:0000019			-1.25586698907415	3.85856688760935	-6.57428869365436	3.47830358251963e-10	1.68765891510854e-07	12.5644229652277	0.0655163966868694
ENST00000574655.5	HAVANA	transcript			ENSG00000120071.12	protein_coding	KNOWN	KANSL1	2	OTTHUMG00000178026.4	ENST00000574655.5	protein_coding	KNOWN	KANSL1-009	4	alternative_5_UTR	OTTHUMT00000440282.2				ENSP00000459359.1		0.776189995645462	1.75310391908816	6.57038489177661	3.55543245294742e-10	1.71118564605572e-07	12.7715352278723	0.0599487153299017
ENST00000569127.1	HAVANA	transcript			ENSG00000167186.10	protein_coding	KNOWN	COQ7	1	OTTHUMG00000131455.5	ENST00000569127.1	protein_coding	KNOWN	COQ7-003	2	exp_conf	OTTHUMT00000435819.1				ENSP00000455122.1		-0.320872834089338	1.96087950588495	-6.5700444485209	3.56223786541418e-10	1.71118564605572e-07	12.751324833401	0.174619416523909
ENST00000624419.1	ENSEMBL	transcript			ENSG00000273136.6	protein_coding	KNOWN	NBPF26	3	OTTHUMG00000189374.2	ENST00000624419.1	protein_coding	KNOWN	NBPF26-208	5	basic					ENSP00000485259.1		3.06394257214429	-1.61561620049625	6.56828552207805	3.59760302894781e-10	1.71961862800508e-07	12.0041377294127	0.0520885812752343
ENST00000537147.5	ENSEMBL	transcript			ENSG00000213088.9	protein_coding	KNOWN	ACKR1	3	OTTHUMG00000037182.4	ENST00000537147.5	protein_coding	KNOWN	ACKR1-201	5	CCDS					ENSP00000441985.1	CCDS1183.1	0.628385247395455	1.39421074713003	6.56305836986818	3.70474977871703e-10	1.76211039474997e-07	12.7557301025813	0.211920917390848
ENST00000514813.6	HAVANA	transcript			ENSG00000248124.7	transcribed_unprocessed_pseudogene	KNOWN	RRN3P1	2	OTTHUMG00000170417.2	ENST00000514813.6	processed_transcript	KNOWN	RRN3P1-004	2	basic	OTTHUMT00000473804.1						0.332073439497452	2.37134249043197	6.55870149750823	3.79644900466509e-10	1.7968742019433e-07	12.6530313228126	0.0688470953742967
ENST00000500009.2	HAVANA	transcript			ENSG00000246375.2	lincRNA	KNOWN	RP11-10L7.1	2	OTTHUMG00000160984.1	ENST00000500009.2	lincRNA	KNOWN	RP11-10L7.1-001	1	basic	OTTHUMT00000363267.1						-1.20124038461289	0.660730139539702	-6.55581429374984	3.85844120398193e-10	1.81730698541108e-07	12.7448784062883	0.146740939893835
ENST00000409458.3	HAVANA	transcript			ENSG00000136235.15	protein_coding	KNOWN	GPNMB	2	OTTHUMG00000022811.5	ENST00000409458.3	protein_coding	KNOWN	GPNMB-007	1	basic	OTTHUMT00000327157.2				ENSP00000386476.3		1.03748876564947	-0.441200717553601	6.54465054728375	4.10764151029292e-10	1.92528746788749e-07	12.6479425369296	0.0623472238358467
ENST00000487732.5	HAVANA	transcript			ENSG00000100376.11	protein_coding	KNOWN	FAM118A	2	OTTHUMG00000151338.3	ENST00000487732.5	retained_intron	KNOWN	FAM118A-012	3		OTTHUMT00000322271.1						1.56786671119035	-0.713169410920486	6.54159079954539	4.17866017913613e-10	1.94911282577927e-07	12.5732895575536	0.062856207137417
ENST00000262160.10	HAVANA	transcript			ENSG00000175387.15	protein_coding	KNOWN	SMAD2	2	OTTHUMG00000132652.4	ENST00000262160.10	protein_coding	KNOWN	SMAD2-001	1	CCDS	OTTHUMT00000255903.2				ENSP00000262160.6	CCDS11934.1	0.114326421513223	5.77110915053012	6.53910521200156	4.23723928754979e-10	1.9669346258177e-07	12.1099609372864	0.114089629411025
ENST00000560598.1	HAVANA	transcript			ENSG00000169918.9	protein_coding	KNOWN	OTUD7A	2	OTTHUMG00000129275.3	ENST00000560598.1	protein_coding	KNOWN	OTUD7A-004	5	not_organism_supported	OTTHUMT00000417428.1				ENSP00000453883.1		-0.427107063750085	1.34264958168971	-6.53581583328095	4.31600388112452e-10	1.99391119013443e-07	12.6117411393979	0.64053734514438
ENST00000414273.1	HAVANA	transcript			ENSG00000237973.1	unprocessed_pseudogene	KNOWN	MTCO1P12	2	OTTHUMG00000002333.2	ENST00000414273.1	unprocessed_pseudogene	KNOWN	MTCO1P12-001	NA	basic	OTTHUMT00000006715.2			PGO:0000005			-3.32529049270674	4.1073706818733	-6.51971449791873	4.72279245922203e-10	2.17145001479869e-07	12.2369078568037	0.154737058895535
ENST00000540768.5	HAVANA	transcript			ENSG00000125450.10	protein_coding	KNOWN	NUP85	2	OTTHUMG00000179482.3	ENST00000540768.5	protein_coding	KNOWN	NUP85-006	2	basic	OTTHUMT00000446635.1				ENSP00000445855.1		-0.503210607150425	0.955368212072737	-6.51101665099913	4.95797300254243e-10	2.26877784496437e-07	12.4949661110537	0.181578865087147
ENST00000615128.1	HAVANA	transcript			ENSG00000274767.1	antisense	KNOWN	AC131056.3	2	OTTHUMG00000188418.1	ENST00000615128.1	antisense	KNOWN	AC131056.3-001	2	basic	OTTHUMT00000477155.1						-0.998919021478369	-1.21342606347945	-6.50994013909801	4.98786929623796e-10	2.27169213221208e-07	12.3018354048665	0.0730248412248482
ENST00000354619.9	HAVANA	transcript			ENSG00000086619.13	protein_coding	KNOWN	ERO1B	2	OTTHUMG00000039955.3	ENST00000354619.9	protein_coding	KNOWN	ERO1B-001	1	CCDS	OTTHUMT00000096371.1				ENSP00000346635.5	CCDS31064.1	-0.199633936365599	4.30895343190262	-6.50701835538207	5.06990706559378e-10	2.29821505545231e-07	12.136571668226	0.460751579204149
ENST00000478636.5	HAVANA	transcript			ENSG00000183281.14	protein_coding	KNOWN	PLGLB1	2	OTTHUMG00000154612.3	ENST00000478636.5	processed_transcript	KNOWN	PLGLB1-002	2		OTTHUMT00000330377.1						1.58548077408843	-0.278344161296552	6.49747545972548	5.34719645727839e-10	2.41258507820588e-07	12.4136144425507	0.0943830223602136
ENST00000509562.2	HAVANA	transcript			ENSG00000039319.16	protein_coding	KNOWN	ZFYVE16	2	OTTHUMG00000108178.5	ENST00000509562.2	protein_coding	KNOWN	ZFYVE16-008	3	cds_end_NF	OTTHUMT00000369312.4				ENSP00000422356.2		-1.42927583612897	-1.52822641369072	-6.49069579199968	5.5531930986157e-10	2.49387444857554e-07	12.0462321212839	0.0237081175677376
ENST00000420513.1	HAVANA	transcript			ENSG00000219481.10	protein_coding	KNOWN	NBPF1	2	OTTHUMG00000002487.10	ENST00000420513.1	processed_transcript	KNOWN	NBPF1-004	3		OTTHUMT00000092465.1						-0.511830700822348	0.602112119512636	-6.48681958273055	5.67445190752091e-10	2.53653254388321e-07	12.3766423338391	0.0664577675328218
ENST00000265594.8	HAVANA	transcript			ENSG00000078070.12	protein_coding	KNOWN	MCCC1	2	OTTHUMG00000158355.3	ENST00000265594.8	protein_coding	KNOWN	MCCC1-001	1	CCDS	OTTHUMT00000350775.1				ENSP00000265594.4	CCDS3241.1	0.201996683380993	4.36453760453951	6.48044060866483	5.87969013081203e-10	2.61616405940288e-07	11.9866016918348	0.0273116716663145
ENST00000528221.1	HAVANA	transcript			ENSG00000233295.3	unprocessed_pseudogene	KNOWN	FAM90A20P	2	OTTHUMG00000165214.1	ENST00000528221.1	unprocessed_pseudogene	KNOWN	FAM90A20P-001	NA	basic	OTTHUMT00000382713.1			PGO:0000005			1.84060183935704	-0.761918078950081	6.47740305743916	5.97996671388012e-10	2.64857663344945e-07	12.2110250154449	0.0602828459465937
ENST00000292401.8	HAVANA	transcript			ENSG00000160862.12	protein_coding	KNOWN	AZGP1	2	OTTHUMG00000023066.4	ENST00000292401.8	protein_coding	KNOWN	AZGP1-001	1	CCDS	OTTHUMT00000059387.4				ENSP00000292401.4	CCDS5680.1	-0.973073422646056	1.88639322943283	-6.46974761680561	6.24020250833526e-10	2.75121695429134e-07	12.215336975643	0.0957520548248402
ENST00000588189.1	HAVANA	transcript			ENSG00000131484.4	lincRNA	KNOWN	RP11-798G7.5	2	OTTHUMG00000180601.1	ENST00000588189.1	lincRNA	KNOWN	RP11-798G7.5-001	5	basic	OTTHUMT00000452144.1						0.531828736103502	-0.0759359629470895	6.46238870439274	6.5008305232026e-10	2.85309631971502e-07	12.2436170867111	0.0518484704901512
ENST00000530420.5	HAVANA	transcript			ENSG00000206149.10	transcribed_unprocessed_pseudogene	KNOWN	HERC2P9	2	OTTHUMG00000167114.3	ENST00000530420.5	retained_intron	KNOWN	HERC2P9-003	5		OTTHUMT00000393267.1						1.50415645536397	-0.479649071859462	6.45151969066754	6.90544182959243e-10	3.00928674066482e-07	12.1433891543496	0.0349104159372445
ENST00000472304.1	HAVANA	transcript			ENSG00000136869.13	protein_coding	KNOWN	TLR4	2	OTTHUMG00000021046.4	ENST00000472304.1	processed_transcript	KNOWN	TLR4-003	1		OTTHUMT00000055551.2						0.555009607548748	2.25738284277899	6.45116518567641	6.91904692117975e-10	3.00928674066482e-07	12.0837123291324	0.273961702164614
ENST00000425489.1	HAVANA	transcript			ENSG00000235778.1	unprocessed_pseudogene	KNOWN	AC130360.8	1	OTTHUMG00000150576.1	ENST00000425489.1	unprocessed_pseudogene	KNOWN	AC130360.8-001	NA	basic	OTTHUMT00000318955.1			PGO:0000005			1.79329829701678	-2.75771656007919	6.43693281780461	7.48754418107354e-10	3.24193874824832e-07	9.99638514822686	0.329189099352365
ENST00000297875.6	HAVANA	transcript			ENSG00000147041.11	protein_coding	KNOWN	SYTL5	2	OTTHUMG00000033176.1	ENST00000297875.6	protein_coding	KNOWN	SYTL5-001	5	CCDS	OTTHUMT00000080883.1				ENSP00000297875.2	CCDS14244.1	0.476662089124721	4.28008650876571	6.42453840275299	8.01981550697283e-10	3.45689851098328e-07	11.6862601224454	0.0846803202102103
ENST00000326004.4	HAVANA	transcript			ENSG00000189403.14	protein_coding	KNOWN	HMGB1	2	OTTHUMG00000016670.7	ENST00000326004.4	protein_coding	KNOWN	HMGB1-003	3	basic	OTTHUMT00000044358.1				ENSP00000369904.1		0.331186465378826	5.00538788744093	6.40555806677906	8.90770127934321e-10	3.82255195255868e-07	11.493940849314	0.206776972068331
ENST00000583979.1	ENSEMBL	transcript			ENSG00000264049.1	miRNA	KNOWN	MIR4737	3		ENST00000583979.1	miRNA	KNOWN	MIR4737-201	NA	basic							0.584198463286376	-0.391130018013363	6.3987333008194	9.24999070331186e-10	3.95187434675917e-07	11.8867147826762	0.238803555592654
ENST00000577114.1	HAVANA	transcript			ENSG00000120071.12	protein_coding	KNOWN	KANSL1	2	OTTHUMG00000178026.4	ENST00000577114.1	retained_intron	KNOWN	KANSL1-016	3		OTTHUMT00000440280.2						-0.418821263559962	2.38962634344903	-6.38961761820777	9.72739030650909e-10	4.13752618350079e-07	11.738964253496	0.0532566657130988
ENST00000405613.1	HAVANA	transcript			ENSG00000216901.1	unprocessed_pseudogene	KNOWN	ZNF603P	2	OTTHUMG00000014516.1	ENST00000405613.1	unprocessed_pseudogene	KNOWN	ZNF603P-001	NA	basic	OTTHUMT00000040184.1			PGO:0000005			-1.16923002310382	-0.768722001909439	-6.384143415806	1.00256193447909e-09	4.24567390446027e-07	11.7653772202542	0.30598342326545
ENST00000361355.8	HAVANA	transcript			ENSG00000240038.6	protein_coding	KNOWN	AMY2B	2	OTTHUMG00000011024.6	ENST00000361355.8	protein_coding	KNOWN	AMY2B-001	1	CCDS	OTTHUMT00000030318.1				ENSP00000354610.4	CCDS782.1	-0.351507268519722	5.43554331052006	-6.38332283909203	1.00710903137047e-09	4.24630591331635e-07	11.3096538161858	0.374376401810589
ENST00000449421.6	HAVANA	transcript			ENSG00000125450.10	protein_coding	KNOWN	NUP85	2	OTTHUMG00000179482.3	ENST00000449421.6	processed_transcript	KNOWN	NUP85-003	2		OTTHUMT00000446622.1						-0.663344585789127	-0.0244111102735864	-6.38227575362576	1.01294069974842e-09	4.25232505754386e-07	11.823286366183	0.345006611614273
ENST00000172229.7	HAVANA	transcript			ENSG00000064300.8	protein_coding	KNOWN	NGFR	2	OTTHUMG00000161495.3	ENST00000172229.7	protein_coding	KNOWN	NGFR-001	1	CCDS	OTTHUMT00000365150.1				ENSP00000172229.3	CCDS11549.1	1.29163969885929	0.288217307250707	6.37736138991447	1.04075679700644e-09	4.35018319385974e-07	11.8006186157969	0.121938042158085
