clusterID	N	coord	gene	annotation	FDR	chr	Type	Tissue
clu_64875_+	6	chrX:15790536-15790934	ZRSR2	cryptic	0.0263	chrX	DTU	Caudate
clu_81571_-	2	chr14:63539689-63542779	PPP2R5E	cryptic	0.0264	chr14	DTU	Caudate
clu_48221_-	11	chr9:137576167-137578625	DPH7	cryptic	0.0264	chr9	DTU	Caudate
clu_150069_+	2	chr2:219597897-219598094	STK11IP	cryptic	0.0265	chr2	DTU	Caudate
clu_137874_-	18	chr1:181445031-181482522	.	annotated	0.0266	chr1	DTU	Caudate
clu_23966_-	2	chr10:73323027-73331177	CFAP70	annotated	0.0266	chr10	DTU	Caudate
clu_68766_-	6	chr19:20409024-20536050	ZNF826P	cryptic	0.0266	chr19	DTU	Caudate
clu_56489_-	9	chr2:189747168-189752849	OSGEPL1	cryptic	0.0266	chr2	DTU	Caudate
clu_152238_-	2	chr6:87518152-87518630	RARS2	cryptic	0.0266	chr6	DTU	Caudate
clu_58925_+	11	chr1:27963693-27989622	XKR8	cryptic	0.0267	chr1	DTU	Caudate
clu_147544_+	9	chr2:87141005-87149835	AC083899.3	cryptic	0.0267	chr2	DTU	Caudate
clu_77203_+	3	chr5:116134178-116291517	COMMD10	cryptic	0.0267	chr5	DTU	Caudate
clu_81225_-	3	chr14:39151839-39158285	TRAPPC6B	annotated	0.0268	chr14	DTU	Caudate
clu_69417_-	3	chr19:38916129-38917724	SARS2	cryptic	0.0268	chr19	DTU	Caudate
clu_169606_-	3	chr4:1167656-1170999	SPON2	cryptic	0.0268	chr4	DTU	Caudate
clu_146336_+	3	chr2:29135666-29143709	CLIP4	cryptic	0.0269	chr2	DTU	Caudate
clu_20403_-	3	chr3:69195364-69196283	FRMD4B	cryptic	0.027	chr3	DTU	Caudate
clu_50078_+	5	chr12:64435674-64448105	XPOT	cryptic	0.0272	chr12	DTU	Caudate
clu_18152_+	4	chr18:34679592-34755976	DTNA	annotated	0.0272	chr18	DTU	Caudate
clu_132762_+	5	chr19:57614503-57620160	ZNF134	annotated	0.0272	chr19	DTU	Caudate
clu_73898_?	9	chr19:21819221-21987216	ZNF208	cryptic	0.0272	chr19	DTU	Caudate
clu_168370_-	3	chr7:107412632-107527237	COG5	cryptic	0.0272	chr7	DTU	Caudate
clu_186298_+	4	chr7:77002321-77004218	DTX2P1-UPK3BP1-PMS2P11	cryptic	0.0272	chr7	DTU	Caudate
clu_102151_+	2	chr13:60460540-60467238	TDRD3	cryptic	0.0274	chr13	DTU	Caudate
clu_88475_-	3	chr13:95606059-95611445	DZIP1	annotated	0.0276	chr13	DTU	Caudate
clu_70677_-	5	chr19:56103227-56121706	ZNF787	cryptic	0.0276	chr19	DTU	Caudate
clu_57559_-	9	chr2:241500796-241509223	STK25	annotated	0.0277	chr2	DTU	Caudate
clu_77131_+	3	chr5:111394782-111446686	CAMK4	cryptic	0.0277	chr5	DTU	Caudate
clu_78338_+	5	chr5:172958801-172959865	RPL26L1	annotated	0.0277	chr5	DTU	Caudate
clu_159117_+	3	chr11:113339474-113341837	TTC12	cryptic	0.0278	chr11	DTU	Caudate
clu_33706_-	2	chr16:18341712-18348489	RP11-1212A22.1	cryptic	0.0278	chr16	DTU	Caudate
clu_33691_-	5	chr16:18339243-18379493	RP11-1212A22.1	cryptic	0.0279	chr16	DTU	Caudate
clu_35944_?	4	chr10:12814307-12816250	CAMK1D	cryptic	0.028	chr10	DTU	Caudate
clu_141010_+	5	chr10:97751462-97753041	ZFYVE27	cryptic	0.0283	chr10	DTU	Caudate
clu_148238_+	3	chr2:109808404-109813460	RGPD5	annotated	0.0283	chr2	DTU	Caudate
clu_7609_-	6	chr11:129123530-129124803	ARHGAP32	cryptic	0.0284	chr11	DTU	Caudate
clu_71862_+	3	chr22:37631099-37631996	GGA1	cryptic	0.0284	chr22	DTU	Caudate
clu_20464_-	28	chr3:72100010-72275108	LINC00877	cryptic	0.0284	chr3	DTU	Caudate
clu_120724_+	4	chr4:119023581-119057401	SYNPO2	annotated	0.0284	chr4	DTU	Caudate
clu_175799_+	2	chr16:83809425-83817786	HSBP1	annotated	0.0285	chr16	DTU	Caudate
clu_33709_-	5	chr16:18344283-18388374	RP11-1212A22.1	cryptic	0.0285	chr16	DTU	Caudate
clu_131549_+	3	chr19:43988558-43991548	ZNF155	annotated	0.0285	chr19	DTU	Caudate
clu_171579_-	4	chr4:151226086-151325241	SH3D19	annotated	0.0285	chr4	DTU	Caudate
clu_78222_+	27	chr5:164297196-164722765	CTC-340A15.2	cryptic	0.0285	chr5	DTU	Caudate
clu_126085_-	2	chr12:49992133-49992245	RACGAP1	cryptic	0.0286	chr12	DTU	Caudate
clu_79650_-	2	chr20:35626800-35627280	CPNE1	annotated	0.0286	chr20	DTU	Caudate
clu_154724_+	2	chr14:72474690-72476742	RGS6	cryptic	0.0287	chr14	DTU	Caudate
clu_96001_-	7	chr17:41825657-41832392	NT5C3B	annotated	0.0288	chr17	DTU	Caudate
clu_56318_-	10	chr2:177234271-177310964	NFE2L2	cryptic	0.0288	chr2	DTU	Caudate
clu_40344_?	3	chr2:20251716-20254863	PUM2	cryptic	0.0289	chr2	DTU	Caudate
clu_76417_+	3	chr5:65788274-65792454	NLN	cryptic	0.0289	chr5	DTU	Caudate
clu_1509_-	3	chrX:124453491-124481732	TENM1	cryptic	0.0289	chrX	DTU	Caudate
clu_149703_+	3	chr2:208346147-208350024	PIKFYVE	cryptic	0.029	chr2	DTU	Caudate
clu_22305_-	3	chr3:195967990-195971323	SDHAP1	annotated	0.029	chr3	DTU	Caudate
clu_1475_-	4	chrX:120558039-120560083	CUL4B	cryptic	0.029	chrX	DTU	Caudate
clu_101636_+	3	chr13:27271068-27271484	RASL11A	cryptic	0.0291	chr13	DTU	Caudate
clu_142571_+	11	chr15:40383322-40389506	KNSTRN	cryptic	0.0291	chr15	DTU	Caudate
clu_36284_?	10	chr10:32474023-32543300	CCDC7	cryptic	0.0292	chr10	DTU	Caudate
clu_157285_+	3	chr11:49558715-49576046	RP11-707M1.1	cryptic	0.0292	chr11	DTU	Caudate
clu_159633_+	3	chr11:130122513-130126700	APLP2	annotated	0.0292	chr11	DTU	Caudate
clu_142337_+	4	chr15:28744899-28745980	WHAMMP2	cryptic	0.0292	chr15	DTU	Caudate
clu_166053_-	4	chr7:2219456-2222575	MAD1L1	cryptic	0.0292	chr7	DTU	Caudate
clu_158807_+	3	chr11:93696854-93702460	CEP295	cryptic	0.0294	chr11	DTU	Caudate
clu_17685_+	2	chr18:8635622-8636253	RAB12	cryptic	0.0294	chr18	DTU	Caudate
clu_133355_-	5	chr1:3826436-3829266	CEP104	cryptic	0.0295	chr1	DTU	Caudate
clu_135263_-	3	chr1:52461769-52465070	ZCCHC11	cryptic	0.0295	chr1	DTU	Caudate
clu_125649_-	10	chr12:39018565-39057989	.	annotated	0.0295	chr12	DTU	Caudate
clu_101536_+	3	chr13:20656430-20663498	IFT88	annotated	0.0295	chr13	DTU	Caudate
clu_16204_-	6	chr8:58585761-58587618	NSMAF	cryptic	0.0295	chr8	DTU	Caudate
clu_109097_?	2	chr4:42579863-42581621	ATP8A1	cryptic	0.0298	chr4	DTU	Caudate
clu_128993_+	25	chr19:8209494-8254499	CERS4	cryptic	0.0299	chr19	DTU	Caudate
clu_179864_?	2	chr6:56634949-56635589	DST	cryptic	0.0299	chr6	DTU	Caudate
clu_159845_?	19	chrY:18932841-19068724	TTTY14	cryptic	0.0301	chrY	DTU	Caudate
clu_59691_+	5	chr1:43426151-43426715	SZT2	cryptic	0.0303	chr1	DTU	Caudate
clu_155221_+	2	chr14:92797981-92806736	GOLGA5	cryptic	0.0303	chr14	DTU	Caudate
clu_99561_?	4	chr5:131162676-131165095	HINT1	cryptic	0.0304	chr5	DTU	Caudate
clu_94591_-	2	chr17:4654258-4671691	PELP1	cryptic	0.0305	chr17	DTU	Caudate
clu_90198_+	3	chr3:52384977-52385337	DNAH1	cryptic	0.0305	chr3	DTU	Caudate
clu_170854_-	9	chr4:86194407-86593910	MAPK10	annotated	0.0305	chr4	DTU	Caudate
clu_147203_+	3	chr2:73234384-73247762	CCT7	annotated	0.0306	chr2	DTU	Caudate
clu_155429_+	2	chr14:100829749-100831421	MEG3	cryptic	0.0307	chr14	DTU	Caudate
clu_142320_+	4	chr15:28632807-28633197	HERC2P9	cryptic	0.0307	chr15	DTU	Caudate
clu_98565_?	41	chr5:49610883-49646189	.	annotated	0.0307	chr5	DTU	Caudate
clu_151154_-	3	chr6:24843554-24848025	FAM65B	annotated	0.0307	chr6	DTU	Caudate
clu_59581_+	3	chr1:40457071-40457344	ZFP69B	cryptic	0.0308	chr1	DTU	Caudate
clu_67586_-	2	chr19:6696462-6696593	C3	cryptic	0.0308	chr19	DTU	Caudate
clu_153554_-	3	chr6:169250806-169253724	THBS2	cryptic	0.0309	chr6	DTU	Caudate
clu_62327_+	5	chr1:155880620-155881198	SYT11	cryptic	0.0312	chr1	DTU	Caudate
clu_24789_-	2	chr10:106956580-107163969	SORCS1	cryptic	0.0312	chr10	DTU	Caudate
clu_90182_+	3	chr3:52332394-52344490	DNAH1	cryptic	0.0313	chr3	DTU	Caudate
clu_15246_-	5	chr8:2955768-2961141	CSMD1	cryptic	0.0313	chr8	DTU	Caudate
clu_45493_-	6	chr9:14672889-14680033	ZDHHC21	cryptic	0.0313	chr9	DTU	Caudate
clu_125164_-	6	chr12:7357486-7368933	CD163L1	cryptic	0.0314	chr12	DTU	Caudate
clu_21153_-	5	chr3:126462220-126470895	ZXDC	cryptic	0.0314	chr3	DTU	Caudate
clu_21678_-	4	chr3:155802591-155806139	C3orf33	annotated	0.0314	chr3	DTU	Caudate
clu_91897_+	2	chr3:179581220-179583353	ACTL6A	cryptic	0.0314	chr3	DTU	Caudate
clu_118151_+	23	chr6:126038925-126174825	.	annotated	0.0314	chr6	DTU	Caudate
clu_1994_-	2	chrX:155415646-155419419	.	annotated	0.0314	chrX	DTU	Caudate
clu_54302_-	2	chr2:70179642-70181404	C2orf42	cryptic	0.0316	chr2	DTU	Caudate
clu_26923_-	20	chr5:124059948-124386229	LINC01170	cryptic	0.0319	chr5	DTU	Caudate
clu_63614_+	9	chr1:204828782-204944226	NFASC	cryptic	0.032	chr1	DTU	Caudate
clu_51235_+	4	chr12:121156147-121162424	P2RX7	annotated	0.032	chr12	DTU	Caudate
clu_55892_-	2	chr2:151815199-151828389	ARL5A	annotated	0.0321	chr2	DTU	Caudate
clu_48522_+	6	chr12:6451784-6453447	TAPBPL	annotated	0.0323	chr12	DTU	Caudate
clu_35070_-	3	chr16:71018380-71020174	HYDIN	cryptic	0.0323	chr16	DTU	Caudate
clu_95263_-	5	chr17:18554266-18579657	CCDC144B	cryptic	0.0323	chr17	DTU	Caudate
clu_141983_+	3	chr15:22744698-22758819	RP11-566K19.6	cryptic	0.0324	chr15	DTU	Caudate
clu_136056_-	2	chr1:108937418-108939636	CLCC1	cryptic	0.0325	chr1	DTU	Caudate
clu_159502_+	4	chr11:124745589-124745965	NRGN	cryptic	0.0325	chr11	DTU	Caudate
clu_10507_-	12	chr15:34983490-35373521	ZNF770	cryptic	0.0325	chr15	DTU	Caudate
clu_27587_-	7	chr5:154034946-154038857	FAM114A2	annotated	0.0327	chr5	DTU	Caudate
clu_54476_-	4	chr2:75701287-75706523	GCFC2	annotated	0.0328	chr2	DTU	Caudate
clu_115898_+	3	chr6:3118847-3123657	BPHL	annotated	0.033	chr6	DTU	Caudate
clu_129189_+	3	chr19:10802358-10805916	DNM2	annotated	0.0331	chr19	DTU	Caudate
clu_20995_-	3	chr3:122552635-122555625	PARP9	cryptic	0.0331	chr3	DTU	Caudate
clu_116697_+	3	chr6:35469027-35469436	RPL10A	cryptic	0.0331	chr6	DTU	Caudate
clu_18907_-	3	chr3:10301147-10304026	SEC13	cryptic	0.0333	chr3	DTU	Caudate
clu_76413_+	3	chr5:65652545-65658368	TRAPPC13	annotated	0.0334	chr5	DTU	Caudate
clu_63942_+	5	chr1:220786179-220791491	MARC1	cryptic	0.0336	chr1	DTU	Caudate
clu_100778_-	2	chr18:21020236-21023620	ROCK1	cryptic	0.0336	chr18	DTU	Caudate
clu_125061_-	7	chr12:6439676-6446961	CD27-AS1	cryptic	0.0337	chr12	DTU	Caudate
clu_34329_-	12	chr16:30757654-30760284	CCDC189	cryptic	0.0338	chr16	DTU	Caudate
clu_70247_-	3	chr19:50334405-50334829	NAPSB	cryptic	0.0338	chr19	DTU	Caudate
clu_128912_+	2	chr19:7526606-7526761	MCOLN1	cryptic	0.034	chr19	DTU	Caudate
clu_61737_+	3	chr1:147293722-147294409	CHD1L	cryptic	0.0341	chr1	DTU	Caudate
clu_20158_-	4	chr3:56633843-56639986	FAM208A	annotated	0.0341	chr3	DTU	Caudate
clu_159066_+	2	chr11:111996146-112016691	DIXDC1	cryptic	0.0342	chr11	DTU	Caudate
clu_164332_+	2	chr17:45620372-45621908	LINC02210	annotated	0.0343	chr17	DTU	Caudate
clu_95979_-	7	chr17:40637572-40645796	SMARCE1	annotated	0.0343	chr17	DTU	Caudate
clu_31920_+	9	chr20:36198041-36212272	EPB41L1	cryptic	0.0343	chr20	DTU	Caudate
clu_11817_-	2	chr15:75358344-75358507	MAN2C1	cryptic	0.0346	chr15	DTU	Caudate
clu_18800_-	4	chr3:3174261-3179621	CRBN	annotated	0.0346	chr3	DTU	Caudate
clu_94439_-	2	chr17:3577125-3577598	TRPV1	cryptic	0.0347	chr17	DTU	Caudate
clu_120119_+	4	chr4:61909745-61934840	ADGRL3	annotated	0.0347	chr4	DTU	Caudate
clu_184155_?	3	chr3:183338919-183341540	MCF2L2	cryptic	0.0348	chr3	DTU	Caudate
clu_138527_-	37	chr1:216677491-217090431	ESRRG	cryptic	0.0349	chr1	DTU	Caudate
clu_53184_-	8	chr2:11447774-11453582	E2F6	cryptic	0.0349	chr2	DTU	Caudate
clu_27809_-	5	chr5:175918172-175961273	THOC3	cryptic	0.0349	chr5	DTU	Caudate
clu_83293_+	4	chr9:40284613-40289235	RP11-146D12.2	cryptic	0.0349	chr9	DTU	Caudate
clu_101232_-	19	chr18:56600269-56600678	.	annotated	0.0352	chr18	DTU	Caudate
clu_117544_+	5	chr6:75892690-75907605	MYO6	cryptic	0.0352	chr6	DTU	Caudate
clu_118198_+	6	chr6:130018664-130022227	L3MBTL3	cryptic	0.0353	chr6	DTU	Caudate
clu_82980_+	5	chr9:32408634-32418244	ACO1	cryptic	0.0354	chr9	DTU	Caudate
clu_159391_+	2	chr11:120337275-120406118	ARHGEF12	annotated	0.0357	chr11	DTU	Caudate
clu_130940_+	3	chr19:36687634-36689401	ZNF567	cryptic	0.0358	chr19	DTU	Caudate
clu_131144_+	8	chr19:38535392-38543347	RYR1	cryptic	0.0358	chr19	DTU	Caudate
clu_47007_-	2	chr9:108869182-108874895	IKBKAP	cryptic	0.0358	chr9	DTU	Caudate
clu_133785_-	2	chr1:16255821-16256606	FBXO42	cryptic	0.0361	chr1	DTU	Caudate
clu_164273_+	4	chr17:44759897-44771584	ADAM11	cryptic	0.0361	chr17	DTU	Caudate
clu_135281_-	3	chr1:53218495-53220261	C1orf123	cryptic	0.0362	chr1	DTU	Caudate
clu_157411_+	8	chr11:61393976-61428613	TMEM216	cryptic	0.0363	chr11	DTU	Caudate
clu_6611_-	3	chr11:77392541-77473552	PAK1	annotated	0.0364	chr11	DTU	Caudate
clu_87973_-	3	chr13:41816775-41819218	VWA8	cryptic	0.0364	chr13	DTU	Caudate
clu_173418_+	3	chr16:3523299-3530568	CLUAP1	annotated	0.0364	chr16	DTU	Caudate
clu_25105_-	3	chr10:125796188-125798065	UROS	cryptic	0.0365	chr10	DTU	Caudate
clu_33685_-	3	chr16:18320000-18324091	NPIPA8	cryptic	0.0365	chr16	DTU	Caudate
clu_120545_+	2	chr4:105823064-105823231	GSTCD	cryptic	0.0365	chr4	DTU	Caudate
clu_46394_-	4	chr9:69517279-69672851	APBA1	cryptic	0.0367	chr9	DTU	Caudate
clu_24493_-	4	chr10:98434091-98435635	HPS1	cryptic	0.0369	chr10	DTU	Caudate
clu_115121_?	8	chr1:211019256-211103496	KCNH1	cryptic	0.037	chr1	DTU	Caudate
clu_92243_+	13	chr3:195620229-195729648	LINC00969	cryptic	0.037	chr3	DTU	Caudate
clu_119343_+	4	chr4:2823037-2824613	SH3BP2	annotated	0.037	chr4	DTU	Caudate
clu_26820_-	4	chr5:113151422-113340519	MCC	annotated	0.037	chr5	DTU	Caudate
clu_134424_-	6	chr1:30981405-31028796	PUM1	cryptic	0.0371	chr1	DTU	Caudate
clu_97651_-	2	chr17:78797879-78798400	USP36	annotated	0.0371	chr17	DTU	Caudate
clu_26805_-	3	chr5:112307490-112532697	EPB41L4A	cryptic	0.0371	chr5	DTU	Caudate
clu_76816_+	3	chr5:79745455-79752676	CMYA5	cryptic	0.0371	chr5	DTU	Caudate
clu_153274_-	4	chr6:157318919-157323412	TMEM242	cryptic	0.0371	chr6	DTU	Caudate
clu_69182_-	3	chr19:36151546-36151696	COX7A1	cryptic	0.0372	chr19	DTU	Caudate
clu_185247_+	7	chr7:32729009-32833008	DPY19L1P2	cryptic	0.0374	chr7	DTU	Caudate
clu_121225_+	7	chr4:168711923-168890922	PALLD	cryptic	0.0375	chr4	DTU	Caudate
clu_96839_-	6	chr17:59987604-59995953	DHX40P1	cryptic	0.0376	chr17	DTU	Caudate
clu_88174_-	9	chr13:50068163-50125302	DLEU2	cryptic	0.0378	chr13	DTU	Caudate
clu_67348_-	6	chr19:4512668-4513164	.	annotated	0.0378	chr19	DTU	Caudate
clu_82845_+	27	chr9:15874663-16108712	CCDC171	cryptic	0.0378	chr9	DTU	Caudate
clu_143623_+	2	chr15:74023365-74024857	PML	annotated	0.038	chr15	DTU	Caudate
clu_175290_+	2	chr16:67228631-67228797	TMEM208	annotated	0.0381	chr16	DTU	Caudate
clu_60439_+	3	chr1:77801508-77813734	MIGA1	cryptic	0.0382	chr1	DTU	Caudate
clu_141694_+	3	chr10:124974398-124981709	ZRANB1	cryptic	0.0382	chr10	DTU	Caudate
clu_142810_+	3	chr15:43333434-43335696	ADAL	annotated	0.0382	chr15	DTU	Caudate
clu_164401_+	2	chr17:47404021-47404565	EFCAB13	cryptic	0.0383	chr17	DTU	Caudate
clu_3080_-	14	chr22:25102918-25112187	CTA-221G9.12	cryptic	0.0383	chr22	DTU	Caudate
clu_91577_+	2	chr3:154129719-154149389	ARHGEF26	cryptic	0.0383	chr3	DTU	Caudate
clu_1076_-	5	chrX:77688924-77696577	ATRX	annotated	0.0383	chrX	DTU	Caudate
clu_186128_+	4	chr7:74896232-74897652	PMS2P5	cryptic	0.0384	chr7	DTU	Caudate
clu_59820_+	7	chr1:44724244-44724774	C1orf228	cryptic	0.0385	chr1	DTU	Caudate
clu_49598_+	5	chr12:53055690-53057013	TNS2	cryptic	0.0385	chr12	DTU	Caudate
clu_168755_-	2	chr7:137463611-137465908	DGKI	cryptic	0.0385	chr7	DTU	Caudate
clu_81725_-	3	chr14:70326449-70329174	SYNJ2BP-COX16	cryptic	0.0387	chr14	DTU	Caudate
clu_137394_-	4	chr1:156294565-156295526	GLMP	cryptic	0.0388	chr1	DTU	Caudate
clu_60780_+	4	chr1:103540146-103571557	AMY2B	cryptic	0.0388	chr1	DTU	Caudate
clu_87999_-	3	chr13:42926429-42963255	EPSTI1	cryptic	0.0388	chr13	DTU	Caudate
clu_54239_-	3	chr2:68217131-68252125	PPP3R1	cryptic	0.0388	chr2	DTU	Caudate
clu_64017_+	8	chr1:225145379-225152005	DNAH14	cryptic	0.039	chr1	DTU	Caudate
clu_24247_-	2	chr10:89278503-89293572	LIPA	annotated	0.039	chr10	DTU	Caudate
clu_53895_-	6	chr2:46581591-46592475	PIGF	cryptic	0.039	chr2	DTU	Caudate
clu_154050_+	2	chr14:35046130-35046505	FAM177A1	annotated	0.0391	chr14	DTU	Caudate
clu_76267_+	2	chr5:55328811-55340010	SKIV2L2	annotated	0.0391	chr5	DTU	Caudate
clu_166009_-	4	chr7:1438193-1438840	MICALL2	cryptic	0.0391	chr7	DTU	Caudate
clu_25897_-	3	chr5:37292985-37298868	NUP155	cryptic	0.0392	chr5	DTU	Caudate
clu_82066_-	15	chr14:83039643-83098917	.	annotated	0.0393	chr14	DTU	Caudate
clu_174082_+	6	chr16:22437492-22496001	SMG1P1	cryptic	0.0393	chr16	DTU	Caudate
clu_128644_+	2	chr19:3207469-3207637	NCLN	cryptic	0.0393	chr19	DTU	Caudate
clu_31329_+	16	chr20:8493669-8494132	.	annotated	0.0394	chr20	DTU	Caudate
clu_135241_-	4	chr1:52346203-52353603	CC2D1B	cryptic	0.0398	chr1	DTU	Caudate
clu_138915_-	10	chr1:234393837-234401181	TARBP1	cryptic	0.0399	chr1	DTU	Caudate
clu_95992_-	9	chr17:41708176-41725859	HAP1	cryptic	0.0399	chr17	DTU	Caudate
clu_11706_-	2	chr15:72320702-72345446	HEXA	annotated	0.04	chr15	DTU	Caudate
clu_176279_+	14	chr16:90146712-90159433	FAM157C	cryptic	0.0401	chr16	DTU	Caudate
clu_172827_+	4	chr16:263775-264614	FAM234A	cryptic	0.0402	chr16	DTU	Caudate
clu_173262_+	2	chr16:2232364-2232491	E4F1	cryptic	0.0402	chr16	DTU	Caudate
clu_176174_+	4	chr16:89693326-89694173	CDK10	cryptic	0.0402	chr16	DTU	Caudate
clu_128645_+	2	chr19:3224998-3250985	CELF5	annotated	0.0402	chr19	DTU	Caudate
clu_129341_+	6	chr19:12163206-12186114	ZNF136	annotated	0.0402	chr19	DTU	Caudate
clu_44441_+	3	chr21:5032217-5033408	CH507-9B2.1	cryptic	0.0402	chr21	DTU	Caudate
clu_64634_+	2	chrX:290776-291499	PLCXD1	annotated	0.0402	chrX	DTU	Caudate
clu_64376_+	3	chr1:236810595-236812738	MTR	cryptic	0.0403	chr1	DTU	Caudate
clu_60393_+	3	chr1:74736622-74748751	TYW3	annotated	0.0404	chr1	DTU	Caudate
clu_56927_-	6	chr2:218476981-218482070	USP37	cryptic	0.0405	chr2	DTU	Caudate
clu_53755_-	5	chr2:39299801-39309461	MAP4K3	annotated	0.0406	chr2	DTU	Caudate
clu_129692_+	4	chr19:17989818-17993490	KCNN1	cryptic	0.0408	chr19	DTU	Caudate
clu_58788_+	2	chr1:25565207-25566848	LDLRAP1	cryptic	0.041	chr1	DTU	Caudate
clu_17977_+	2	chr18:21505949-21508228	GREB1L	cryptic	0.041	chr18	DTU	Caudate
clu_18504_+	3	chr18:62252754-62255407	KIAA1468	cryptic	0.041	chr18	DTU	Caudate
clu_73248_?	3	chr19:9828389-9828837	UBL5	cryptic	0.041	chr19	DTU	Caudate
clu_45081_+	3	chr21:44137296-44143205	C21orf33	annotated	0.041	chr21	DTU	Caudate
clu_46442_-	5	chr9:72360784-72364696	ZFAND5	annotated	0.0412	chr9	DTU	Caudate
clu_172532_-	2	chr21:39264685-39264986	BRWD1	annotated	0.0413	chr21	DTU	Caudate
clu_35260_-	4	chr16:74886396-74887683	WDR59	cryptic	0.0414	chr16	DTU	Caudate
clu_183997_?	2	chr3:171190787-171194578	TNIK	cryptic	0.0414	chr3	DTU	Caudate
clu_5268_-	7	chr11:36274772-36289362	COMMD9	cryptic	0.0415	chr11	DTU	Caudate
clu_150309_+	3	chr2:231146356-231153564	PSMD1	cryptic	0.0415	chr2	DTU	Caudate
clu_3437_-	2	chr22:36225239-36231340	APOL2	cryptic	0.0415	chr22	DTU	Caudate
clu_22271_-	4	chr3:195870205-195872276	TNK2	cryptic	0.0415	chr3	DTU	Caudate
clu_45980_-	2	chr9:38596403-38601131	ANKRD18A	cryptic	0.0415	chr9	DTU	Caudate
clu_162659_+	2	chr17:7455941-7456583	CHRNB1	cryptic	0.0417	chr17	DTU	Caudate
clu_72636_+	4	chr22:50508445-50516447	NCAPH2	cryptic	0.0417	chr22	DTU	Caudate
clu_116338_+	7	chr6:26368912-26373276	BTN3A2	cryptic	0.0417	chr6	DTU	Caudate
clu_123009_+	3	chr8:22619355-22620004	CCAR2	cryptic	0.042	chr8	DTU	Caudate
clu_123066_+	2	chr8:24914873-24915605	NEFM	annotated	0.042	chr8	DTU	Caudate
clu_46633_-	4	chr9:87967631-87969194	CDK20	cryptic	0.042	chr9	DTU	Caudate
clu_83960_+	3	chr9:95941549-95955914	ERCC6L2	annotated	0.042	chr9	DTU	Caudate
clu_59924_+	8	chr1:46303820-46316552	UQCRH	cryptic	0.0422	chr1	DTU	Caudate
clu_142001_+	2	chr15:22664960-22667898	WHAMMP3	annotated	0.0422	chr15	DTU	Caudate
clu_66741_-	3	chr19:439030-440862	SHC2	cryptic	0.0424	chr19	DTU	Caudate
clu_70601_-	4	chr19:55206955-55207166	PTPRH	annotated	0.0424	chr19	DTU	Caudate
clu_120097_+	3	chr4:56986426-56994404	POLR2B	annotated	0.0424	chr4	DTU	Caudate
clu_87684_-	3	chr13:25249492-25251853	MTMR6	cryptic	0.0425	chr13	DTU	Caudate
clu_163720_+	5	chr17:37021014-37056606	AATF	cryptic	0.0425	chr17	DTU	Caudate
clu_101191_-	3	chr18:50800143-50805154	MRO	annotated	0.0425	chr18	DTU	Caudate
clu_41892_?	3	chr2:97202230-97206063	ANKRD36	cryptic	0.0425	chr2	DTU	Caudate
clu_78855_-	3	chr20:1310891-1312587	SDCBP2	cryptic	0.0426	chr20	DTU	Caudate
clu_171432_-	9	chr4:134494253-134636067	.	annotated	0.0426	chr4	DTU	Caudate
clu_17358_-	3	chr8:143818534-143821597	PUF60	annotated	0.0426	chr8	DTU	Caudate
clu_114201_?	7	chr1:155439068-155477886	ASH1L	cryptic	0.0428	chr1	DTU	Caudate
clu_142812_+	2	chr15:43340352-43342994	ADAL	cryptic	0.0429	chr15	DTU	Caudate
clu_71408_+	8	chr22:25448284-25457264	CRYBB2P1	cryptic	0.0429	chr22	DTU	Caudate
clu_21094_-	3	chr3:125013990-125019262	HEG1	annotated	0.0429	chr3	DTU	Caudate
clu_99975_?	2	chr5:148548780-148550137	HTR4	cryptic	0.0429	chr5	DTU	Caudate
clu_46577_-	5	chr9:83978452-83980503	HNRNPK	cryptic	0.0429	chr9	DTU	Caudate
clu_1792_-	3	chrX:150770369-150776174	CD99L2	annotated	0.0429	chrX	DTU	Caudate
clu_125757_-	2	chr12:47751193-47751399	RAPGEF3	cryptic	0.0432	chr12	DTU	Caudate
clu_142406_+	5	chr15:30904590-30908118	FAN1	cryptic	0.0432	chr15	DTU	Caudate
clu_96083_-	3	chr17:42669621-42670573	PLEKHH3	annotated	0.0432	chr17	DTU	Caudate
clu_70053_-	4	chr19:48638144-48638888	CA11	cryptic	0.0432	chr19	DTU	Caudate
clu_79257_-	3	chr20:20036362-20037323	CRNKL1	cryptic	0.0432	chr20	DTU	Caudate
clu_1325_-	4	chrX:110681646-110688609	CHRDL1	cryptic	0.0432	chrX	DTU	Caudate
clu_133356_-	3	chr1:3829373-3831046	CEP104	cryptic	0.0433	chr1	DTU	Caudate
clu_96991_-	4	chr17:64148127-64150841	TEX2	cryptic	0.0433	chr17	DTU	Caudate
clu_54272_-	15	chr2:69963500-69996686	PCBP1-AS1	cryptic	0.0433	chr2	DTU	Caudate
clu_185937_+	3	chr7:73039502-73041238	CH17-264B6.4	cryptic	0.0435	chr7	DTU	Caudate
clu_133023_-	4	chr1:1223968-1231892	SDF4	cryptic	0.0436	chr1	DTU	Caudate
clu_105_-	24	chrX:2266947-2500817	DHRSX	cryptic	0.0437	chrX	DTU	Caudate
clu_46482_-	8	chr9:75069102-75077159	NMRK1	cryptic	0.0438	chr9	DTU	Caudate
clu_141430_+	3	chr10:110890670-110894412	PDCD4	annotated	0.0439	chr10	DTU	Caudate
