"","module"
"ENSG00000144460.12","darkmagenta"
"ENSG00000228206.2","blue"
"ENSG00000273301.1","red"
"ENSG00000169047.5","darkmagenta"
"ENSG00000272622.1","brown"
"ENSG00000261379.1","blue"
"ENSG00000144468.16","brown"
"ENSG00000081052.11","turquoise"
"ENSG00000169031.18","green"
"ENSG00000236432.7","turquoise"
"ENSG00000168958.19","lightgreen"
"ENSG00000173744.17","green"
"ENSG00000135917.13","brown"
"ENSG00000123977.9","brown"
"ENSG00000153820.12","turquoise"
"ENSG00000153823.18","turquoise"
"ENSG00000187957.7","magenta"
"ENSG00000153827.13","yellow"
"ENSG00000153832.11","green"
"ENSG00000231534.1","blue"
"ENSG00000163053.10","grey"
"ENSG00000225963.7","green"
"ENSG00000135899.16","grey60"
"ENSG00000079263.18","yellow"
"ENSG00000185404.16","yellow"
"ENSG00000067066.16","grey60"
"ENSG00000135932.10","lightgreen"
"ENSG00000135916.15","yellow"
"ENSG00000232520.1","turquoise"
"ENSG00000135898.9","blue"
"ENSG00000230385.1","turquoise"
"ENSG00000204128.5","turquoise"
"ENSG00000261829.1","darkolivegreen"
"ENSG00000173692.12","yellow"
"ENSG00000135931.17","blue"
"ENSG00000237039.1","blue"
"ENSG00000224376.1","blue"
"ENSG00000156966.6","yellow"
"ENSG00000115053.15","yellow"
"ENSG00000283312.1","blue"
"ENSG00000283491.1","blue"
"ENSG00000181798.2","blue"
"ENSG00000187514.15","brown"
"ENSG00000156973.13","green"
"ENSG00000144524.17","turquoise"
"ENSG00000261096.1","grey"
"ENSG00000163273.3","turquoise"
"ENSG00000144535.19","turquoise"
"ENSG00000251485.1","blue"
"ENSG00000221944.5","grey"
"ENSG00000135930.13","turquoise"
"ENSG00000115468.11","saddlebrown"
"ENSG00000204120.14","green"
"ENSG00000252452.1","green"
"ENSG00000182600.9","purple"
"ENSG00000066248.14","pink"
"ENSG00000168918.13","grey60"
"ENSG00000085978.21","brown"
"ENSG00000252010.1","grey"
"ENSG00000251791.1","grey"
"ENSG00000077044.10","cyan"
"ENSG00000085982.13","green"
"ENSG00000188042.7","white"
"ENSG00000130147.15","brown"
"ENSG00000157985.18","cyan"
"ENSG00000235529.1","blue"
"ENSG00000182177.13","brown"
"ENSG00000132321.16","brown"
"ENSG00000231546.1","greenyellow"
"ENSG00000144476.5","brown"
"ENSG00000124835.2","salmon"
"ENSG00000227252.1","grey"
"ENSG00000198612.10","saddlebrown"
"ENSG00000163359.15","brown"
"ENSG00000222022.1","brown"
"ENSG00000222032.1","brown"
"ENSG00000115648.13","brown"
"ENSG00000124839.12","black"
"ENSG00000124831.18","magenta"
"ENSG00000177483.11","brown"
"ENSG00000132329.10","turquoise"
"ENSG00000184182.18","turquoise"
"ENSG00000132330.16","blue"
"ENSG00000132323.8","cyan"
"ENSG00000186235.10","blue"
"ENSG00000144485.10","turquoise"
"ENSG00000132326.11","green"
"ENSG00000204104.11","yellow"
"ENSG00000065802.11","turquoise"
"ENSG00000274346.1","turquoise"
"ENSG00000068024.16","brown"
"ENSG00000130414.11","magenta"
"ENSG00000172428.10","turquoise"
"ENSG00000063660.8","midnightblue"
"ENSG00000218416.4","brown"
"ENSG00000207611.1","darkgreen"
"ENSG00000144504.15","black"
"ENSG00000188542.9","grey"
"ENSG00000142327.11","midnightblue"
"ENSG00000260942.1","blue"
"ENSG00000142330.19","pink"
"ENSG00000178623.11","blue"
"ENSG00000130294.14","midnightblue"
"ENSG00000226321.5","turquoise"
"ENSG00000162804.13","pink"
"ENSG00000122085.16","blue"
"ENSG00000115687.13","blue"
"ENSG00000115685.14","magenta"
"ENSG00000146205.13","greenyellow"
"ENSG00000115677.16","grey"
"ENSG00000168385.17","magenta"
"ENSG00000006607.13","grey"
"ENSG00000224232.1","blue"
"ENSG00000115694.14","pink"
"ENSG00000176946.11","brown"
"ENSG00000168397.16","purple"
"ENSG00000168393.12","blue"
"ENSG00000168395.15","purple"
"ENSG00000180902.17","midnightblue"
"ENSG00000154252.11","brown"
"ENSG00000204099.11","pink"
"ENSG00000188011.5","lightcyan"
"ENSG00000233806.7","pink"
"ENSG00000237940.3","black"
"ENSG00000280119.1","brown"
"ENSG00000261186.2","blue"
"ENSG00000220804.8","turquoise"
"ENSG00000224318.5","blue"
"ENSG00000134121.9","darkturquoise"
"ENSG00000224957.5","red"
"ENSG00000134115.12","brown"
"ENSG00000144619.14","brown"
"ENSG00000091181.19","brown"
"ENSG00000072756.16","blue"
"ENSG00000113851.13","lightgreen"
"ENSG00000271870.1","blue"
"ENSG00000223727.6","green"
"ENSG00000144455.13","green"
"ENSG00000175928.5","turquoise"
"ENSG00000229241.1","yellow"
"ENSG00000170364.12","blue"
"ENSG00000231249.1","turquoise"
"ENSG00000150995.18","turquoise"
"ENSG00000235978.6","brown"
"ENSG00000235831.6","grey"
"ENSG00000134107.4","yellow"
"ENSG00000134108.12","red"
"ENSG00000134109.10","darkorange"
"ENSG00000226258.6","grey"
"ENSG00000196277.15","brown"
"ENSG00000227110.6","brown"
"ENSG00000071282.11","yellow"
"ENSG00000125046.14","blue"
"ENSG00000180914.10","blue"
"ENSG00000070950.9","yellow"
"ENSG00000196220.15","brown"
"ENSG00000214041.4","brown"
"ENSG00000206573.8","brown"
"ENSG00000134077.15","turquoise"
"ENSG00000168137.15","cyan"
"ENSG00000156959.8","black"
"ENSG00000163719.19","black"
"ENSG00000144550.12","pink"
"ENSG00000156983.15","yellow"
"ENSG00000114026.21","greenyellow"
"ENSG00000134072.10","turquoise"
"ENSG00000171148.13","turquoise"
"ENSG00000241553.12","black"
"ENSG00000214021.15","pink"
"ENSG00000156990.14","blue"
"ENSG00000171135.13","blue"
"ENSG00000163701.18","magenta"
"ENSG00000163702.18","magenta"
"ENSG00000163703.17","blue"
"ENSG00000269894.1","blue"
"ENSG00000163704.11","purple"
"ENSG00000269982.1","turquoise"
"ENSG00000125037.12","brown"
"ENSG00000180385.8","blue"
"ENSG00000206567.9","brown"
"ENSG00000186162.10","grey"
"ENSG00000144554.10","yellow"
"ENSG00000254999.3","yellow"
"ENSG00000134086.7","darkorange"
"ENSG00000134070.4","brown"
"ENSG00000157014.10","magenta"
"ENSG00000231177.4","blue"
"ENSG00000240288.7","blue"
"ENSG00000157020.17","magenta"
"ENSG00000157087.16","turquoise"
"ENSG00000236999.1","blue"
"ENSG00000132164.9","brown"
"ENSG00000157103.10","white"
"ENSG00000196639.6","brown"
"ENSG00000197548.12","yellow"
"ENSG00000144560.13","brown"
"ENSG00000144559.10","blue"
"ENSG00000157152.16","brown"
"ENSG00000226642.1","pink"
"ENSG00000132170.19","turquoise"
"ENSG00000225026.1","turquoise"
"ENSG00000154743.17","grey"
"ENSG00000251774.1","blue"
"ENSG00000075975.15","turquoise"
"ENSG00000132155.11","grey"
"ENSG00000144712.11","pink"
"ENSG00000272263.1","yellow"
"ENSG00000144713.12","darkred"
"ENSG00000144711.13","midnightblue"
"ENSG00000231362.1","blue"
"ENSG00000132182.11","paleturquoise"
"ENSG00000163517.14","pink"
"ENSG00000163520.13","brown"
"ENSG00000154764.5","turquoise"
"ENSG00000233121.1","blue"
"ENSG00000275340.1","blue"
"ENSG00000180438.15","blue"
"ENSG00000163528.12","turquoise"
"ENSG00000170876.7","brown"
"ENSG00000268279.4","brown"
"ENSG00000228242.6","blue"
"ENSG00000154767.14","magenta"
"ENSG00000170860.3","yellow"
"ENSG00000131389.16","turquoise"
"ENSG00000144596.12","turquoise"
"ENSG00000154781.15","grey"
"ENSG00000131379.9","blue"
"ENSG00000154783.10","grey"
"ENSG00000225733.5","brown"
"ENSG00000177463.15","saddlebrown"
"ENSG00000131368.7","magenta"
"ENSG00000131381.12","yellow"
"ENSG00000131375.9","lightgreen"
"ENSG00000224660.1","yellow"
"ENSG00000131370.15","magenta"
"ENSG00000206562.11","grey"
"ENSG00000144597.13","yellow"
"ENSG00000249786.7","blue"
"ENSG00000206561.12","pink"
"ENSG00000241064.3","black"
"ENSG00000131373.14","yellow"
"ENSG00000169814.12","turquoise"
"ENSG00000206560.11","yellow"
"ENSG00000263740.2","turquoise"
"ENSG00000207815.1","blue"
"ENSG00000224728.1","blue"
"ENSG00000131386.17","yellow"
"ENSG00000154813.9","salmon"
"ENSG00000154814.13","brown"
"ENSG00000131378.13","turquoise"
"ENSG00000271964.1","brown"
"ENSG00000272498.1","black"
"ENSG00000272529.1","grey"
"ENSG00000154822.16","turquoise"
"ENSG00000131374.14","turquoise"
"ENSG00000233133.1","blue"
"ENSG00000182568.16","turquoise"
"ENSG00000272477.1","blue"
"ENSG00000228956.8","turquoise"
"ENSG00000236570.1","turquoise"
"ENSG00000183960.8","green"
"ENSG00000163576.17","turquoise"
"ENSG00000232953.1","turquoise"
"ENSG00000144566.10","green"
"ENSG00000114166.7","tan"
"ENSG00000151789.10","white"
"ENSG00000132967.9","green"
"ENSG00000182247.9","turquoise"
"ENSG00000206728.1","red"
"ENSG00000170142.11","green"
"ENSG00000197885.10","yellow"
"ENSG00000174748.18","saddlebrown"
"ENSG00000174738.12","red"
"ENSG00000151090.17","brown"
"ENSG00000224822.1","brown"
"ENSG00000077092.18","turquoise"
"ENSG00000077097.14","green"
"ENSG00000275227.1","yellow"
"ENSG00000151092.16","turquoise"
"ENSG00000151093.7","blue"
"ENSG00000179796.11","red"
"ENSG00000234165.1","red"
"ENSG00000163491.16","green"
"ENSG00000224237.1","yellow"
"ENSG00000207251.1","grey"
"ENSG00000033867.16","turquoise"
"ENSG00000213846.5","brown"
"ENSG00000271943.1","grey"
"ENSG00000187118.12","red"
"ENSG00000163512.13","green"
"ENSG00000206559.7","blue"
"ENSG00000283563.1","red"
"ENSG00000144642.21","turquoise"
"ENSG00000163513.17","grey60"
"ENSG00000163527.9","lightgreen"
"ENSG00000144645.13","brown"
"ENSG00000197385.5","magenta"
"ENSG00000152642.10","turquoise"
"ENSG00000091317.7","red"
"ENSG00000144635.8","red"
"ENSG00000182973.18","red"
"ENSG00000213842.2","yellow"
"ENSG00000206557.5","turquoise"
"ENSG00000170266.15","yellow"
"ENSG00000188167.8","blue"
"ENSG00000170275.14","brown"
"ENSG00000173705.8","turquoise"
"ENSG00000153558.13","turquoise"
"ENSG00000153560.11","green"
"ENSG00000163539.16","steelblue"
"ENSG00000271643.1","grey"
"ENSG00000170248.13","red"
"ENSG00000228767.1","turquoise"
"ENSG00000212442.1","turquoise"
"ENSG00000172995.16","violet"
"ENSG00000207625.1","green"
"ENSG00000163673.7","blue"
"ENSG00000279727.1","green"
"ENSG00000281100.1","turquoise"
"ENSG00000168016.13","turquoise"
"ENSG00000234073.1","blue"
"ENSG00000178567.7","yellow"
"ENSG00000076242.14","blue"
"ENSG00000093167.17","turquoise"
"ENSG00000224080.1","yellow"
"ENSG00000271993.1","salmon"
"ENSG00000271653.1","blue"
"ENSG00000270194.1","grey"
"ENSG00000144674.16","darkturquoise"
"ENSG00000230409.3","yellow"
"ENSG00000198590.11","turquoise"
"ENSG00000144668.11","turquoise"
"ENSG00000235257.8","blue"
"ENSG00000235482.1","turquoise"
"ENSG00000236411.1","greenyellow"
"ENSG00000144677.14","turquoise"
"ENSG00000136059.14","blue"
"ENSG00000187091.13","tan"
"ENSG00000008226.19","tan"
"ENSG00000060971.17","lightcyan"
"ENSG00000172936.12","tan"
"ENSG00000172939.8","turquoise"
"ENSG00000172940.11","blue"
"ENSG00000144671.10","blue"
"ENSG00000093217.9","brown"
"ENSG00000229589.1","brown"
"ENSG00000114739.13","brown"
"ENSG00000157036.12","magenta"
"ENSG00000168356.11","brown"
"ENSG00000114742.13","red"
"ENSG00000114745.13","turquoise"
"ENSG00000168026.17","pink"
"ENSG00000144655.14","yellow"
"ENSG00000168329.13","grey60"
"ENSG00000144659.10","turquoise"
"ENSG00000168028.13","grey"
"ENSG00000168314.17","green"
"ENSG00000170011.13","turquoise"
"ENSG00000201570.1","purple"
"ENSG00000280739.2","brown"
"ENSG00000114784.3","turquoise"
"ENSG00000223797.5","turquoise"
"ENSG00000168032.8","turquoise"
"ENSG00000188846.13","yellow"
"ENSG00000177873.12","grey"
"ENSG00000177842.11","turquoise"
"ENSG00000172888.11","turquoise"
"ENSG00000168036.16","green"
"ENSG00000168038.10","turquoise"
"ENSG00000223513.1","turquoise"
"ENSG00000182606.14","magenta"
"ENSG00000187094.11","red"
"ENSG00000157093.8","brown"
"ENSG00000114812.12","pink"
"ENSG00000093183.13","turquoise"
"ENSG00000008324.10","yellow"
"ENSG00000114857.17","yellow"
"ENSG00000230084.5","brown"
"ENSG00000114853.13","pink"
"ENSG00000010282.14","greenyellow"
"ENSG00000244607.5","grey"
"ENSG00000181061.13","yellow"
"ENSG00000144648.15","blue"
"ENSG00000273328.5","brown"
"ENSG00000273291.5","pink"
"ENSG00000240747.7","cyan"
"ENSG00000236459.1","greenyellow"
"ENSG00000182983.14","yellow"
"ENSG00000144649.8","magenta"
"ENSG00000144647.5","lightcyan"
"ENSG00000163788.13","yellow"
"ENSG00000241939.3","yellow"
"ENSG00000271941.1","blue"
"ENSG00000234617.1","blue"
"ENSG00000160746.12","lightyellow"
"ENSG00000223916.1","black"
"ENSG00000011198.7","lightyellow"
"ENSG00000272121.1","greenyellow"
"ENSG00000252980.1","greenyellow"
"ENSG00000207954.1","black"
"ENSG00000261786.1","lightyellow"
"ENSG00000173769.4","turquoise"
"ENSG00000179152.19","salmon"
"ENSG00000225873.3","yellow"
"ENSG00000185219.16","turquoise"
"ENSG00000178917.15","blue"
"ENSG00000196345.12","turquoise"
"ENSG00000236869.1","grey"
"ENSG00000144792.9","grey"
"ENSG00000214820.3","turquoise"
"ENSG00000186448.14","red"
"ENSG00000233509.2","grey"
"ENSG00000169981.10","yellow"
"ENSG00000272077.1","yellow"
"ENSG00000196653.11","grey"
"ENSG00000186446.11","grey"
"ENSG00000163807.5","green"
"ENSG00000163808.16","greenyellow"
"ENSG00000169964.6","blue"
"ENSG00000163812.13","brown"
"ENSG00000075914.12","brown"
"ENSG00000163815.5","black"
"ENSG00000163814.7","turquoise"
"ENSG00000249992.1","midnightblue"
"ENSG00000011376.9","salmon"
"ENSG00000144791.9","yellow"
"ENSG00000230530.1","green"
"ENSG00000211456.10","lightgreen"
"ENSG00000244357.3","brown"
"ENSG00000163818.16","turquoise"
"ENSG00000163820.14","blue"
"ENSG00000283646.1","brown"
"ENSG00000163827.12","turquoise"
"ENSG00000178038.16","pink"
"ENSG00000181585.3","blue"
"ENSG00000160801.13","green"
"ENSG00000273682.1","turquoise"
"ENSG00000160799.11","black"
"ENSG00000160796.16","pink"
"ENSG00000181555.19","green"
"ENSG00000227398.3","blue"
"ENSG00000088727.12","turquoise"
"ENSG00000114648.11","turquoise"
"ENSG00000280173.1","turquoise"
"ENSG00000260236.1","blue"
"ENSG00000076201.14","black"
"ENSG00000114650.18","black"
"ENSG00000163832.15","grey"
"ENSG00000114646.9","brown"
"ENSG00000173473.10","turquoise"
"ENSG00000214773.1","brown"
"ENSG00000132153.14","lightcyan"
"ENSG00000047849.21","turquoise"
"ENSG00000224895.1","black"
"ENSG00000164045.11","grey"
"ENSG00000164048.13","turquoise"
"ENSG00000199476.1","blue"
"ENSG00000228638.1","blue"
"ENSG00000172113.8","blue"
"ENSG00000164049.14","grey"
"ENSG00000164050.12","tan"
"ENSG00000164051.13","turquoise"
"ENSG00000232112.3","darkred"
"ENSG00000164053.18","blue"
"ENSG00000282827.1","blue"
"ENSG00000164054.15","brown"
"ENSG00000114268.11","pink"
"ENSG00000114270.16","blue"
"ENSG00000010256.10","black"
"ENSG00000225697.11","purple"
"ENSG00000008300.15","purple"
"ENSG00000213672.7","darkmagenta"
"ENSG00000068745.14","brown"
"ENSG00000114302.15","yellow"
"ENSG00000224424.7","brown"
"ENSG00000178537.9","tan"
"ENSG00000221883.2","brown"
"ENSG00000177479.19","yellow"
"ENSG00000223343.1","blue"
"ENSG00000273211.1","greenyellow"
"ENSG00000178467.17","pink"
"ENSG00000178252.17","blue"
"ENSG00000178149.16","midnightblue"
"ENSG00000178057.14","lightcyan"
"ENSG00000178035.11","black"
"ENSG00000198218.10","magenta"
"ENSG00000172053.16","brown"
"ENSG00000172046.18","black"
"ENSG00000172037.13","brown"
"ENSG00000270441.1","green"
"ENSG00000177352.9","lightcyan"
"ENSG00000185909.14","greenyellow"
"ENSG00000173421.16","grey"
"ENSG00000188315.7","blue"
"ENSG00000114316.12","black"
"ENSG00000233276.3","darkmagenta"
"ENSG00000067560.10","yellow"
"ENSG00000235908.1","brown"
"ENSG00000145022.4","brown"
"ENSG00000145020.15","pink"
"ENSG00000283189.1","pink"
"ENSG00000173402.11","darkorange"
"ENSG00000226913.1","greenyellow"
"ENSG00000164061.4","cyan"
"ENSG00000164062.12","blue"
"ENSG00000173531.15","purple"
"ENSG00000164068.15","pink"
"ENSG00000173540.12","black"
"ENSG00000176095.11","darkmagenta"
"ENSG00000185614.4","brown"
"ENSG00000182179.11","grey60"
"ENSG00000183763.8","brown"
"ENSG00000164076.16","brown"
"ENSG00000264706.2","blue"
"ENSG00000164078.12","blue"
"ENSG00000164077.13","purple"
"ENSG00000004534.14","blue"
"ENSG00000003756.16","blue"
"ENSG00000188338.14","turquoise"
"ENSG00000114353.16","brown"
"ENSG00000230454.1","greenyellow"
"ENSG00000012171.18","tan"
"ENSG00000214706.10","purple"
"ENSG00000186792.16","blue"
"ENSG00000243477.5","black"
"ENSG00000114378.16","blue"
"ENSG00000068001.13","brown"
"ENSG00000114383.9","skyblue"
"ENSG00000068028.17","black"
"ENSG00000004838.13","greenyellow"
"ENSG00000114388.12","blue"
"ENSG00000114395.10","blue"
"ENSG00000126062.3","lightcyan"
"ENSG00000007402.11","white"
"ENSG00000271858.5","blue"
"ENSG00000088543.14","brown"
"ENSG00000114735.9","blue"
"ENSG00000114738.10","tan"
"ENSG00000272543.1","darkgreen"
"ENSG00000088538.12","cyan"
"ENSG00000145050.15","blue"
"ENSG00000259956.1","green"
"ENSG00000145041.15","cyan"
"ENSG00000164080.13","lightcyan"
"ENSG00000164081.12","brown"
"ENSG00000164082.14","paleturquoise"
"ENSG00000114767.6","blue"
"ENSG00000041880.14","pink"
"ENSG00000280422.1","grey"
"ENSG00000180929.5","grey"
"ENSG00000090097.20","pink"
"ENSG00000114779.19","blue"
"ENSG00000248487.8","blue"
"ENSG00000162244.10","darkred"
"ENSG00000164086.9","orange"
"ENSG00000164087.7","midnightblue"
"ENSG00000023330.14","green"
"ENSG00000247596.8","turquoise"
"ENSG00000164088.17","brown"
"ENSG00000164091.11","cyan"
"ENSG00000168237.17","black"
"ENSG00000114841.17","pink"
"ENSG00000239557.1","grey"
"ENSG00000163930.9","lightcyan"
"ENSG00000010318.20","yellow"
"ENSG00000010319.6","purple"
"ENSG00000010322.15","black"
"ENSG00000010327.10","grey60"
"ENSG00000168268.10","turquoise"
"ENSG00000168273.7","blue"
"ENSG00000163939.18","green"
"ENSG00000163938.16","yellow"
"ENSG00000222345.1","red"
"ENSG00000016864.17","grey"
"ENSG00000114902.13","darkred"
"ENSG00000114904.12","red"
"ENSG00000055955.15","blue"
"ENSG00000243696.4","blue"
"ENSG00000248592.7","midnightblue"
"ENSG00000213533.11","purple"
"ENSG00000279144.1","black"
"ENSG00000163935.13","turquoise"
"ENSG00000272305.5","grey"
"ENSG00000280417.1","purple"
"ENSG00000163933.9","darkmagenta"
"ENSG00000163932.13","yellow"
"ENSG00000163931.15","black"
"ENSG00000272886.5","yellow"
"ENSG00000157388.14","brown"
"ENSG00000016391.10","tan"
"ENSG00000056736.9","tan"
"ENSG00000271976.1","grey"
"ENSG00000113812.13","grey"
"ENSG00000113811.10","violet"
"ENSG00000157445.14","turquoise"
"ENSG00000239991.1","blue"
"ENSG00000242568.1","blue"
"ENSG00000242775.1","blue"
"ENSG00000114251.13","turquoise"
"ENSG00000242317.1","blue"
"ENSG00000187672.12","greenyellow"
"ENSG00000281708.1","greenyellow"
"ENSG00000264013.1","pink"
"ENSG00000180376.16","blue"
"ENSG00000163946.13","salmon"
"ENSG00000163947.11","yellow"
"ENSG00000144730.16","brown"
"ENSG00000157500.10","red"
"ENSG00000239388.8","blue"
"ENSG00000174844.14","brown"
"ENSG00000174840.8","saddlebrown"
"ENSG00000168374.10","lightyellow"
"ENSG00000272146.5","blue"
"ENSG00000174839.12","turquoise"
"ENSG00000163681.14","red"
"ENSG00000136068.14","blue"
"ENSG00000163686.14","greenyellow"
"ENSG00000163684.11","brown"
"ENSG00000255154.7","magenta"
"ENSG00000168297.15","salmon"
"ENSG00000168291.12","green"
"ENSG00000272182.1","yellow"
"ENSG00000168301.12","brown"
"ENSG00000168306.12","turquoise"
"ENSG00000168309.16","brown"
"ENSG00000163689.19","brown"
"ENSG00000242428.5","blue"
"ENSG00000243295.1","grey"
"ENSG00000189283.9","grey"
"ENSG00000144724.19","brown"
"ENSG00000226360.5","green"
"ENSG00000241472.6","yellow"
"ENSG00000114405.10","salmon"
"ENSG00000153266.12","turquoise"
"ENSG00000163618.17","brown"
"ENSG00000225662.2","greenyellow"
"ENSG00000244632.3","brown"
"ENSG00000163630.10","turquoise"
"ENSG00000224479.6","turquoise"
"ENSG00000163634.11","turquoise"
"ENSG00000163635.17","brown"
"ENSG00000239653.1","grey"
"ENSG00000271843.1","green"
"ENSG00000163636.10","yellow"
"ENSG00000163637.11","cyan"
"ENSG00000163638.13","tan"
"ENSG00000241684.5","tan"
"ENSG00000151276.23","brown"
"ENSG00000270059.1","blue"
"ENSG00000272610.1","turquoise"
"ENSG00000144741.17","green"
"ENSG00000241587.3","brown"
"ENSG00000144749.13","green"
"ENSG00000163376.11","yellow"
"ENSG00000172340.14","tan"
"ENSG00000241316.6","grey"
"ENSG00000183662.10","brown"
"ENSG00000214552.4","brown"
"ENSG00000240568.1","brown"
"ENSG00000241506.1","brown"
"ENSG00000163378.13","magenta"
"ENSG00000244513.6","brown"
"ENSG00000144747.15","yellow"
"ENSG00000144744.16","darkturquoise"
"ENSG00000144746.6","red"
"ENSG00000114541.14","brown"
"ENSG00000239263.1","brown"
"ENSG00000240265.1","brown"
"ENSG00000187098.14","red"
"ENSG00000114861.18","turquoise"
"ENSG00000277539.1","turquoise"
"ENSG00000242094.1","turquoise"
"ENSG00000270562.1","salmon"
"ENSG00000163412.12","turquoise"
"ENSG00000170837.2","red"
"ENSG00000241163.7","greenyellow"
"ENSG00000276471.1","blue"
"ENSG00000243083.5","grey"
"ENSG00000163602.9","turquoise"
"ENSG00000144736.13","turquoise"
"ENSG00000172986.12","turquoise"
"ENSG00000163605.14","red"
"ENSG00000255423.1","green"
"ENSG00000121440.14","turquoise"
"ENSG00000113805.8","brown"
"ENSG00000213300.5","grey"
"ENSG00000244699.1","turquoise"
"ENSG00000238278.3","pink"
"ENSG00000244026.6","turquoise"
"ENSG00000272690.5","purple"
"ENSG00000239959.1","grey"
"ENSG00000243422.1","turquoise"
"ENSG00000241532.1","turquoise"
"ENSG00000227124.8","red"
"ENSG00000185008.17","turquoise"
"ENSG00000169855.19","turquoise"
"ENSG00000240964.3","turquoise"
"ENSG00000241593.5","green"
"ENSG00000114480.12","turquoise"
"ENSG00000241319.1","green"
"ENSG00000241095.1","grey"
"ENSG00000175161.13","red"
"ENSG00000264084.1","grey"
"ENSG00000243915.1","turquoise"
"ENSG00000241328.1","orange"
"ENSG00000206538.8","brown"
"ENSG00000281392.1","blue"
"ENSG00000083937.8","yellow"
"ENSG00000163320.10","red"
"ENSG00000175105.6","lightgreen"
"ENSG00000179021.9","red"
"ENSG00000242159.1","yellow"
"ENSG00000283434.1","grey"
"ENSG00000044524.10","grey"
"ENSG00000184500.14","brown"
"ENSG00000169379.15","yellow"
"ENSG00000178700.7","turquoise"
"ENSG00000178694.9","green"
"ENSG00000243547.1","yellow"
"ENSG00000269028.3","grey"
"ENSG00000080224.17","red"
"ENSG00000261292.2","red"
"ENSG00000113966.9","turquoise"
"ENSG00000080200.9","turquoise"
"ENSG00000170854.17","salmon"
"ENSG00000080822.16","yellow"
"ENSG00000080819.6","turquoise"
"ENSG00000064225.12","turquoise"
"ENSG00000249274.1","blue"
"ENSG00000057019.15","green"
"ENSG00000273374.1","blue"
"ENSG00000184220.11","yellow"
"ENSG00000168386.18","turquoise"
"ENSG00000036054.12","violet"
"ENSG00000114021.11","brown"
"ENSG00000154174.7","green"
"ENSG00000206535.7","brown"
"ENSG00000114354.13","yellow"
"ENSG00000154175.16","brown"
"ENSG00000081148.11","salmon"
"ENSG00000138468.15","turquoise"
"ENSG00000282978.1","blue"
"ENSG00000174173.6","grey"
"ENSG00000081154.11","royalblue"
"ENSG00000242299.1","grey"
"ENSG00000066422.4","turquoise"
"ENSG00000256628.3","turquoise"
"ENSG00000114391.12","darkred"
"ENSG00000244119.1","turquoise"
"ENSG00000182504.10","turquoise"
"ENSG00000144815.15","turquoise"
"ENSG00000144802.11","turquoise"
"ENSG00000170017.12","turquoise"
"ENSG00000114423.18","turquoise"
"ENSG00000242759.6","blue"
"ENSG00000241787.1","greenyellow"
"ENSG00000242836.1","grey"
"ENSG00000249580.1","greenyellow"
"ENSG00000239455.1","blue"
"ENSG00000243701.5","grey"
"ENSG00000272597.1","blue"
"ENSG00000273125.1","brown"
"ENSG00000114439.18","lightgreen"
"ENSG00000241469.7","yellow"
"ENSG00000240423.1","blue"
"ENSG00000279277.1","blue"
"ENSG00000196776.14","royalblue"
"ENSG00000114446.4","brown"
"ENSG00000144821.9","yellow"
"ENSG00000241634.1","skyblue"
"ENSG00000163507.13","yellow"
"ENSG00000198919.12","red"
"ENSG00000177707.10","turquoise"
"ENSG00000240891.7","turquoise"
"ENSG00000144824.19","grey"
"ENSG00000144827.8","saddlebrown"
"ENSG00000144834.13","magenta"
"ENSG00000176040.13","grey"
"ENSG00000114529.12","royalblue"
"ENSG00000091972.18","brown"
"ENSG00000242525.1","grey"
"ENSG00000279349.1","grey"
"ENSG00000144848.10","brown"
"ENSG00000138459.8","grey"
"ENSG00000091986.15","tan"
"ENSG00000163606.10","brown"
"ENSG00000163607.15","red"
"ENSG00000163608.14","green"
"ENSG00000240057.5","turquoise"
"ENSG00000144857.14","blue"
"ENSG00000206530.9","turquoise"
"ENSG00000163611.11","salmon"
"ENSG00000072858.10","red"
"ENSG00000241529.3","red"
"ENSG00000176542.9","red"
"ENSG00000121579.12","lightgreen"
"ENSG00000239280.1","yellow"
"ENSG00000114573.9","green"
"ENSG00000178075.19","tan"
"ENSG00000184307.13","brown"
"ENSG00000163617.10","turquoise"
"ENSG00000151576.10","greenyellow"
"ENSG00000181722.16","turquoise"
"ENSG00000264623.3","grey"
"ENSG00000242767.1","grey"
"ENSG00000279131.1","turquoise"
"ENSG00000242880.1","blue"
"ENSG00000172020.12","orange"
"ENSG00000241596.1","grey"
"ENSG00000185565.11","green"
"ENSG00000241156.3","grey"
"ENSG00000198406.7","yellow"
"ENSG00000265433.1","cyan"
"ENSG00000200372.1","grey"
"ENSG00000239268.2","grey"
"ENSG00000240393.1","darkolivegreen"
"ENSG00000241213.1","red"
"ENSG00000144847.12","greenyellow"
"ENSG00000121578.12","lightyellow"
"ENSG00000031081.10","tan"
"ENSG00000176142.12","grey"
"ENSG00000163389.10","turquoise"
"ENSG00000113845.9","blue"
"ENSG00000144843.11","grey"
"ENSG00000121577.13","turquoise"
"ENSG00000138495.6","turquoise"
"ENSG00000183833.16","brown"
"ENSG00000082701.14","steelblue"
"ENSG00000242622.1","greenyellow"
"ENSG00000163428.3","red"
"ENSG00000163430.10","tan"
"ENSG00000065518.7","brown"
"ENSG00000113924.11","brown"
"ENSG00000144840.8","green"
"ENSG00000153767.9","blue"
"ENSG00000145087.12","turquoise"
"ENSG00000264477.1","black"
"ENSG00000243813.1","turquoise"
