clusterID	N	coord	gene	annotation	FDR
clu_172703_-	2	chr21:44907095-44910284	ITGB2	annotated	3.76e-07
clu_173199_+	2	chr16:1965129-1965406	SNHG9	cryptic	3.77e-07
clu_123860_+	3	chr8:74361978-74362939	GDAP1	cryptic	3.98e-07
clu_26259_-	6	chr5:69625900-70139127	GUSBP3	cryptic	4.12e-07
clu_69354_-	2	chr19:38218656-38218931	DPF1	cryptic	4.23e-07
clu_186438_+	4	chr7:90300059-90304744	CFAP69	cryptic	4.54e-07
clu_10216_-	13	chr15:20462986-20505391	HERC2P3	cryptic	4.63e-07
clu_6124_-	9	chr11:65856242-65861371	CFL1	cryptic	4.76e-07
clu_50675_+	2	chr12:103947430-103953386	HSP90B1	annotated	4.91e-07
clu_149100_+	6	chr2:172562291-172564503	PDK1	cryptic	5.45e-07
clu_68348_-	3	chr19:15181801-15184906	NOTCH3	annotated	5.82e-07
clu_154974_+	3	chr14:77708208-77710838	SLIRP	annotated	5.88e-07
clu_151199_-	8	chr6:27363302-27375194	.	annotated	5.9e-07
clu_36509_?	5	chr10:48051778-48052504	BMS1P7	cryptic	6.1e-07
clu_21237_-	6	chr3:129171508-129183776	CNBP	cryptic	6.15e-07
clu_88822_+	12	chr3:3799919-4002429	LRRN1	cryptic	6.57e-07
clu_86186_?	17	chr8:32016340-32061686	NRG1-IT1	cryptic	6.94e-07
clu_61317_+	32	chr1:121629158-121824457	.	annotated	7.09e-07
clu_154094_+	14	chr14:37198104-37266938	MIPOL1	cryptic	7.26e-07
clu_118131_+	2	chr6:125153970-125220078	TPD52L1	annotated	7.53e-07
clu_150957_-	5	chr6:11005559-11044228	ELOVL2	cryptic	7.53e-07
clu_152186_-	9	chr6:83707957-83709653	SNAP91	cryptic	8.14e-07
clu_169927_-	9	chr4:9224246-9247975	.	annotated	8.26e-07
clu_46696_-	3	chr9:92068098-92080016	SPTLC1	cryptic	8.37e-07
clu_121136_+	9	chr4:158672490-158684592	ETFDH	cryptic	8.65e-07
clu_381_-	2	chrX:23988955-24005989	KLHL15	cryptic	9.29e-07
clu_141157_+	3	chr10:101031534-101034692	SFXN3	cryptic	1.07e-06
clu_142297_+	3	chr15:26940077-26943457	GABRA5	cryptic	1.09e-06
clu_122729_+	13	chr8:12145700-12419142	FAM66D	cryptic	1.11e-06
clu_33343_-	2	chr16:3977630-3979116	ADCY9	cryptic	1.13e-06
clu_57802_+	24	chr1:2106504-2106896	.	annotated	1.14e-06
clu_155162_+	4	chr14:91167378-91173289	C14orf159	annotated	1.21e-06
clu_80673_-	5	chr14:20802093-20802797	RNASE1	cryptic	1.22e-06
clu_72432_+	3	chr22:46289899-46292791	TTC38	annotated	1.29e-06
clu_143106_+	5	chr15:49625431-49632171	DTWD1	annotated	1.36e-06
clu_142330_+	5	chr15:28657325-28663378	HERC2P9	cryptic	1.52e-06
clu_148024_+	12	chr2:99155051-99194751	LIPT1	cryptic	1.53e-06
clu_50297_+	4	chr12:78865109-78977799	SYT1	cryptic	1.57e-06
clu_50004_+	4	chr12:57783283-57786163	TSFM	annotated	1.6e-06
clu_171178_-	4	chr4:107701285-107720120	PAPSS1	cryptic	1.62e-06
clu_45438_-	2	chr9:10341017-10612398	PTPRD	cryptic	1.65e-06
clu_70298_-	2	chr19:50968591-50969490	KLK6	cryptic	1.77e-06
clu_101906_+	6	chr13:43879734-43880952	LACC1	cryptic	1.78e-06
clu_10334_-	5	chr15:28233540-28234070	HERC2	cryptic	1.85e-06
clu_10209_-	5	chr15:20440642-20443371	HERC2P3	cryptic	1.89e-06
clu_12423_-	3	chr15:101654730-101656922	TARSL2	annotated	1.89e-06
clu_172005_-	3	chr21:5134120-5135089	CH507-9B2.5	annotated	1.98e-06
clu_61696_+	2	chr1:146691102-146692892	HYDIN2	cryptic	2.03e-06
clu_32765_+	5	chr20:63689132-63689765	RTEL1	cryptic	2.08e-06
clu_57163_-	7	chr2:229880128-229923148	TRIP12	cryptic	2.09e-06
clu_20855_-	5	chr3:115810414-115841845	LSAMP	cryptic	2.25e-06
clu_76425_+	7	chr5:66054951-66076316	ERBIN	cryptic	2.25e-06
clu_162975_+	3	chr17:16735643-16761425	CCDC144A	annotated	2.27e-06
clu_10320_-	2	chr15:28257153-28260777	HERC2	cryptic	2.41e-06
clu_11209_-	11	chr15:55389433-55439472	CCPG1	cryptic	2.59e-06
clu_166796_-	33	chr7:42956132-43113624	AC005537.2	cryptic	2.6e-06
clu_31605_+	32	chr20:25985395-26069039	FAM182A	cryptic	2.73e-06
clu_81633_-	4	chr14:67350690-67359658	ATP6V1D	annotated	2.8e-06
clu_57634_+	6	chr1:826923-829003	LINC01128	cryptic	2.92e-06
clu_141993_+	14	chr15:22560935-22561258	HERC2P2	cryptic	2.95e-06
clu_136386_-	3	chr1:120573189-120620355	CH17-472G23.4	cryptic	3.02e-06
clu_46990_-	3	chr9:104827169-104828916	ABCA1	cryptic	3.02e-06
clu_18397_+	2	chr18:56696462-56717964	WDR7	cryptic	3.16e-06
clu_142256_+	3	chr15:25184075-25185443	SNHG14	cryptic	3.39e-06
clu_123367_+	2	chr8:38901445-38917907	PLEKHA2	annotated	3.83e-06
clu_47089_-	9	chr9:110973558-111038652	LPAR1	cryptic	3.83e-06
clu_132958_-	8	chr1:498456-743286	RP4-669L17.10	cryptic	3.88e-06
clu_17031_-	3	chr8:132572480-132583694	LRRC6	annotated	3.88e-06
clu_80878_-	3	chr14:23360281-23365008	EFS	annotated	3.92e-06
clu_66977_-	14	chr19:2291814-2309092	.	annotated	4.09e-06
clu_61203_+	8	chr1:120793496-120814829	NBPF26	cryptic	4.23e-06
clu_54273_-	35	chr2:69996888-70085547	PCBP1-AS1	annotated	4.34e-06
clu_142738_+	13	chr15:42276410-42287691	GANC	cryptic	4.51e-06
clu_132963_-	3	chr1:808623-810067	RP11-206L10.8	cryptic	5.04e-06
clu_133115_-	2	chr1:1712400-1716346	CDK11A	cryptic	5.11e-06
clu_132939_-	4	chr1:14829-15796	WASH7P	cryptic	5.21e-06
clu_70103_-	7	chr19:48815141-48834276	HSD17B14	cryptic	5.21e-06
clu_23968_-	9	chr10:73345114-73353556	CFAP70	cryptic	5.3e-06
clu_156351_+	19	chr11:777695-783534	AP006621.5	cryptic	5.63e-06
clu_71401_+	2	chr22:25520733-25604377	GRK3	cryptic	5.63e-06
clu_142259_+	6	chr15:25204728-25211607	SNHG14	cryptic	5.68e-06
clu_54043_-	3	chr2:55263865-55267569	MTIF2	annotated	5.93e-06
clu_119075_+	10	chr4:635969-653852	PDE6B	cryptic	6.04e-06
clu_27465_-	3	chr5:150115946-150117618	PDGFRB	cryptic	6.33e-06
clu_4688_-	16	chr11:10634071-10693820	MRVI1	cryptic	6.58e-06
clu_168166_-	3	chr7:102488598-102493116	RASA4B	annotated	6.61e-06
clu_32503_+	10	chr20:58701158-58707123	NPEPL1	cryptic	6.63e-06
clu_61797_+	4	chr1:149259609-149263838	.	annotated	6.75e-06
clu_23668_-	12	chr10:62353021-62374871	.	annotated	7.05e-06
clu_172015_-	11	chr21:6230951-6267135	CH507-24F1.2	cryptic	7.17e-06
clu_145786_+	30	chr2:5932921-6000983	LINC01105	cryptic	7.24e-06
clu_82526_-	9	chr14:103912694-103921470	C14orf2	cryptic	7.29e-06
clu_174711_+	2	chr16:31326935-31328147	ITGAM	cryptic	7.3e-06
clu_174021_+	17	chr16:20900535-20924000	LYRM1	cryptic	7.56e-06
clu_65110_+	12	chrX:37349395-37406209	PRRG1	cryptic	7.89e-06
clu_143882_+	10	chr15:82355324-82404612	UBE2Q2P2	cryptic	8.15e-06
clu_125258_-	6	chr12:10160021-10166712	OLR1	cryptic	8.18e-06
clu_140636_+	2	chr10:84139577-84141462	GHITM	cryptic	8.2e-06
clu_122429_+	25	chr8:1013600-1017585	.	annotated	8.35e-06
clu_80535_-	2	chr20:63593082-63595610	GMEB2	cryptic	8.71e-06
clu_50753_+	8	chr12:106955738-106967111	TMEM263	cryptic	8.93e-06
clu_136379_-	2	chr1:120518646-120519218	CH17-472G23.4	cryptic	8.96e-06
clu_80012_-	5	chr20:46394503-46406548	ELMO2	annotated	9.61e-06
clu_33986_-	2	chr16:23529611-23529744	EARS2	cryptic	9.79e-06
clu_124321_+	15	chr8:116766791-116848888	UTP23	cryptic	1.03e-05
clu_165908_+	4	chr17:82893632-82903405	TBCD	cryptic	1.04e-05
clu_149317_+	8	chr2:189791941-189818017	PMS1	cryptic	1.04e-05
clu_25764_-	6	chr5:31515219-31526079	DROSHA	annotated	1.04e-05
clu_25822_-	4	chr5:33989502-33998641	AMACR	annotated	1.04e-05
clu_142334_+	2	chr15:28671610-28671731	HERC2P9	cryptic	1.09e-05
clu_165212_+	3	chr17:73203793-73206154	COG1	cryptic	1.16e-05
clu_76808_+	4	chr5:79613075-79619612	PAPD4	cryptic	1.19e-05
clu_171662_-	11	chr4:158155825-158172868	FAM198B	cryptic	1.21e-05
clu_83392_+	8	chr9:62289745-62297572	.	annotated	1.21e-05
clu_56777_-	14	chr2:208165815-208180745	C2orf80	cryptic	1.28e-05
clu_82915_+	28	chr9:19789278-20007921	.	annotated	1.3e-05
clu_27260_-	3	chr5:140551169-140557147	SRA1	annotated	1.31e-05
clu_81616_-	7	chr14:65076663-65077913	MAX	cryptic	1.35e-05
clu_95817_-	4	chr17:38153349-38256898	CH17-431G21.1	cryptic	1.35e-05
clu_24476_-	6	chr10:98387307-98390598	PYROXD2	cryptic	1.42e-05
clu_55247_-	5	chr2:101050641-101059421	TBC1D8	cryptic	1.44e-05
clu_55969_-	14	chr2:158313894-158456415	CCDC148	cryptic	1.46e-05
clu_149313_+	12	chr2:189719813-189741342	ANKAR	cryptic	1.54e-05
clu_150472_+	4	chr2:235968623-236036561	AGAP1	cryptic	1.54e-05
clu_21096_-	10	chr3:125084052-125107481	SLC12A8	cryptic	1.54e-05
clu_171699_-	14	chr4:163700863-164111588	MARCH1	cryptic	1.54e-05
clu_83670_+	2	chr9:78236603-78240023	CEP78	annotated	1.56e-05
clu_127668_-	2	chr12:118773302-118773611	RP11-357K6.1	cryptic	1.6e-05
clu_53504_-	7	chr2:27207790-27211583	SLC5A6	cryptic	1.66e-05
clu_26384_-	6	chr5:75705787-75717306	POC5	annotated	1.72e-05
clu_68177_-	3	chr19:13109838-13110158	TRMT1	annotated	1.89e-05
clu_171764_-	5	chr4:168894765-169002071	CBR4	cryptic	1.89e-05
clu_125201_-	6	chr12:8946387-8949488	M6PR	cryptic	1.93e-05
clu_115900_+	4	chr6:3137422-3140386	BPHL	annotated	1.97e-05
clu_143527_+	3	chr15:69261329-69268220	GLCE	cryptic	2e-05
clu_27021_-	2	chr5:131990967-131994136	ACSL6	annotated	2.02e-05
clu_49720_+	3	chr12:55719223-55721689	RDH5	annotated	2.12e-05
clu_135431_-	10	chr1:60663025-60729575	RP11-436K8.1	cryptic	2.15e-05
clu_143345_+	2	chr15:63589011-63590661	USP3	cryptic	2.15e-05
clu_61796_+	29	chr1:149176250-149660854	CH17-189H20.1	cryptic	2.2e-05
clu_72316_+	2	chr22:42571203-42572436	SERHL2	annotated	2.31e-05
clu_150880_-	2	chr6:4133701-4135511	ECI2	annotated	2.37e-05
clu_175828_+	2	chr16:83994402-83994609	NECAB2	cryptic	2.41e-05
clu_27054_-	5	chr5:132703619-132710959	KIF3A	annotated	2.43e-05
clu_134565_-	6	chr1:32681860-32694880	SYNC	cryptic	2.44e-05
clu_88784_+	3	chr3:394872-399017	CHL1	annotated	2.46e-05
clu_16502_-	4	chr8:89937075-89943253	NBN	cryptic	2.48e-05
clu_117037_+	3	chr6:43019165-43020667	KLHDC3	cryptic	2.51e-05
clu_116863_+	3	chr6:39884069-39887486	DAAM2	annotated	2.53e-05
clu_64074_+	5	chr1:226939591-226961508	COQ8A	cryptic	2.54e-05
clu_176129_+	2	chr16:89554563-89556887	SPG7	annotated	2.58e-05
clu_15505_-	3	chr8:17341497-17348953	MTMR7	annotated	2.65e-05
clu_135108_-	5	chr1:46188980-46189484	POMGNT1	cryptic	2.69e-05
clu_35436_-	8	chr16:84498111-84504601	TLDC1	cryptic	2.74e-05
clu_21245_-	12	chr3:129346061-129393635	RPL32P3	cryptic	2.78e-05
clu_184720_+	2	chr7:3639110-3641958	SDK1	cryptic	2.84e-05
clu_174425_+	12	chr16:29085276-29090740	RRN3P2	cryptic	2.86e-05
clu_129838_+	4	chr19:19199234-19201657	RFXANK	annotated	2.86e-05
clu_53064_-	4	chr2:6915967-6916850	RNF144A-AS1	cryptic	2.86e-05
clu_186013_+	4	chr7:73693669-73697605	WBSCR22	annotated	2.99e-05
clu_16564_-	5	chr8:94404239-94407439	FSBP	cryptic	3.02e-05
clu_18376_+	4	chr18:54283015-54283922	POLI	cryptic	3.11e-05
clu_117280_+	25	chr6:52912138-52995895	.	annotated	3.17e-05
clu_54929_-	21	chr2:94738631-94790171	.	annotated	3.33e-05
clu_153393_-	12	chr6:163190982-163196584	PACRG-AS3	cryptic	3.34e-05
clu_35065_-	11	chr16:70941819-70959647	HYDIN	cryptic	3.35e-05
clu_24871_-	4	chr10:114445403-114451624	ABLIM1	cryptic	3.4e-05
clu_169012_-	9	chr7:149074538-149090623	ZNF786	cryptic	3.47e-05
clu_55181_-	23	chr2:99110915-99154837	TSGA10	cryptic	3.53e-05
clu_122909_+	2	chr8:21971941-21974670	XPO7	annotated	3.6e-05
clu_154656_+	13	chr14:69191591-69228816	EXD2	cryptic	3.8e-05
clu_45346_-	8	chr9:2523157-2536359	VLDLR-AS1	cryptic	3.9e-05
clu_115937_+	17	chr6:5261358-5431041	FARS2	cryptic	4.07e-05
clu_166981_-	6	chr7:45728313-45736787	SEPT7P2	cryptic	4.14e-05
clu_53146_-	6	chr2:10682069-10689796	NOL10	cryptic	4.2e-05
clu_123063_+	8	chr8:24351286-24354384	ADAM28	cryptic	4.23e-05
clu_48349_+	5	chr12:1827594-1828076	LRTM2	annotated	4.24e-05
clu_10946_-	2	chr15:45351677-45363900	GATM	cryptic	4.3e-05
clu_6636_-	3	chr11:78101195-78103980	ALG8	annotated	4.45e-05
clu_78731_+	2	chr5:179726759-179729360	CANX	annotated	4.45e-05
clu_91001_+	6	chr3:122384299-122402764	FAM162A	cryptic	4.5e-05
clu_78802_+	5	chr5:181304239-181313829	AC138035.2	cryptic	4.5e-05
clu_66047_+	2	chrX:108559153-108563882	COL4A5	cryptic	4.64e-05
clu_57635_+	10	chr1:829104-851927	LINC01128	cryptic	4.69e-05
clu_136137_-	2	chr1:110659586-110668223	.	annotated	5e-05
clu_89132_+	4	chr3:14922548-14924008	FGD5	cryptic	5.05e-05
clu_141161_+	2	chr10:101037431-101038643	SFXN3	annotated	5.14e-05
clu_155339_+	5	chr14:96855350-96856528	VRK1	cryptic	5.14e-05
clu_159276_+	4	chr11:118607699-118613816	PHLDB1	annotated	5.16e-05
clu_136644_-	13	chr1:145291769-145336814	NBPF20	cryptic	5.24e-05
clu_185507_+	2	chr7:45662214-45677869	ADCY1	annotated	5.25e-05
clu_4482_-	4	chr11:4385394-4386157	TRIM21	cryptic	5.42e-05
clu_132492_+	5	chr19:54449306-54452093	LENG8	annotated	5.52e-05
clu_76321_+	2	chr5:58726120-58825038	RAB3C	annotated	5.59e-05
clu_81770_-	7	chr14:73355766-73458493	NUMB	cryptic	5.61e-05
clu_186280_+	14	chr7:77005775-77236947	DTX2P1-UPK3BP1-PMS2P11	cryptic	5.61e-05
clu_72500_+	4	chr22:48707844-48850758	FAM19A5	cryptic	5.62e-05
clu_138703_-	4	chr1:225862347-225862463	TMEM63A	cryptic	5.65e-05
clu_142004_+	3	chr15:22671607-22672690	WHAMMP3	annotated	5.73e-05
clu_157950_+	2	chr11:65864613-65864744	MUS81	annotated	5.75e-05
clu_142030_+	2	chr15:23309735-23310188	RP11-228M15.1	cryptic	5.77e-05
clu_113484_?	5	chr1:120620465-120641608	CH17-472G23.4	cryptic	5.79e-05
clu_33367_-	5	chr16:4325354-4328260	GLIS2-AS1	cryptic	6.07e-05
clu_95837_-	7	chr17:38549210-38551886	SRCIN1	cryptic	6.22e-05
clu_138579_-	5	chr1:222486121-222504412	RP11-378J18.9	cryptic	6.33e-05
clu_140091_+	3	chr10:50097802-50104042	WASHC2A	cryptic	6.41e-05
clu_139999_+	25	chr10:46911501-46999912	PTPN20	cryptic	6.55e-05
clu_149337_+	18	chr2:190535121-190659277	NAB1	cryptic	6.62e-05
clu_10206_-	2	chr15:20431235-20435849	HERC2P3	cryptic	7.09e-05
clu_24344_-	4	chr10:95410777-95421961	SORBS1	annotated	7.2e-05
clu_61209_+	3	chr1:120969354-120972786	.	annotated	7.23e-05
clu_23386_-	14	chr10:42523738-42551577	ZNF37BP	cryptic	7.64e-05
clu_164757_+	7	chr17:58337679-58394906	TSPOAP1-AS1	cryptic	7.64e-05
clu_120043_+	4	chr4:55411839-55417072	TMEM165	cryptic	7.78e-05
clu_25308_-	5	chr5:678064-700645	TPPP	cryptic	7.93e-05
clu_165125_+	8	chr17:68206238-68250360	AMZ2	cryptic	8.11e-05
clu_185931_+	13	chr7:72879384-72890627	POM121	cryptic	8.22e-05
clu_25452_-	7	chr5:850602-878355	BRD9	cryptic	8.29e-05
clu_142042_+	4	chr15:24962209-24974311	SNRPN	cryptic	8.33e-05
clu_142316_+	2	chr15:28818998-28833276	PDCD6IPP2	annotated	8.39e-05
clu_52868_-	6	chr2:234272-247538	SH3YL1	annotated	8.39e-05
clu_16466_-	6	chr8:85217502-85220306	C8orf59	cryptic	8.39e-05
clu_67770_-	3	chr19:9569082-9584461	ZNF121	annotated	8.48e-05
clu_128136_-	3	chr12:132140907-132141275	DDX51	cryptic	8.57e-05
clu_51972_?	11	chr13:30463694-30618218	HMGB1	cryptic	8.96e-05
clu_102370_+	5	chr13:98435706-98439107	FARP1	annotated	9.02e-05
clu_186623_+	4	chr7:99374781-99385702	ARPC1B	annotated	9.06e-05
clu_166823_-	4	chr7:44013679-44016434	POLR2J4	cryptic	9.07e-05
clu_26257_-	8	chr5:69366595-69369657	TAF9	cryptic	9.15e-05
clu_124274_+	4	chr8:106359636-106518943	OXR1	cryptic	9.32e-05
clu_17903_+	26	chr18:14179597-14205151	ANKRD20A5P	cryptic	9.36e-05
clu_135887_-	4	chr1:93339536-93345724	CCDC18-AS1	annotated	9.61e-05
clu_54012_-	2	chr2:55328432-55332566	CCDC88A	annotated	9.61e-05
clu_139996_+	3	chr10:46795953-46796672	BMS1P1	cryptic	9.75e-05
clu_165354_+	2	chr17:75591712-75591977	MYO15B	annotated	0.000101
clu_120210_+	20	chr4:76214424-76309144	FAM47E	cryptic	0.000103
clu_24711_-	10	chr10:103174982-103277154	NT5C2	cryptic	0.000107
clu_156781_+	2	chr11:19147673-19149224	ZDHHC13	cryptic	0.000108
clu_121227_+	3	chr4:168925078-168926213	PALLD	annotated	0.000108
clu_113449_?	10	chr1:120256754-120319191	CH17-472G23.1	cryptic	0.00011
clu_120638_+	3	chr4:113318620-113330246	ANK2	annotated	0.000112
clu_136013_-	2	chr1:103074780-103078658	COL11A1	cryptic	0.000113
clu_96473_-	7	chr17:47828670-47831460	MRPL10	cryptic	0.000113
clu_54594_-	5	chr2:86043195-86047165	POLR1A	cryptic	0.000113
clu_97508_-	2	chr17:76313016-76313821	PRPSAP1	annotated	0.000115
clu_63980_+	4	chr1:223772239-223774834	CAPN2	cryptic	0.000122
clu_146148_+	4	chr2:26421400-26429628	DRC1	cryptic	0.000126
clu_57803_+	21	chr1:2106423-2106931	.	annotated	0.000131
clu_24761_-	7	chr10:104166718-104179029	CFAP43	cryptic	0.000134
clu_173557_+	11	chr16:6654650-7052057	RBFOX1	cryptic	0.000134
clu_55758_-	21	chr2:135005531-135047185	MAP3K19	cryptic	0.000134
clu_151302_-	5	chr6:31728745-31730051	DDAH2	annotated	0.000134
clu_84405_+	10	chr9:121281562-121301971	GSN	cryptic	0.000134
clu_111180_?	5	chr1:16484464-16632275	CROCCP3	cryptic	0.000136
clu_55779_-	2	chr2:135933990-135943378	DARS	cryptic	0.000137
clu_151159_-	10	chr6:25097201-25108576	CMAHP	cryptic	0.000143
clu_125324_-	3	chr12:12338560-12343092	MANSC1	cryptic	0.000147
clu_40215_?	35	chr2:9406046-9406551	.	annotated	0.000149
clu_125655_-	3	chr12:39326324-39330746	KIF21A	annotated	0.000151
clu_127523_-	3	chr12:113119259-113121509	RASAL1	cryptic	0.000151
clu_149805_+	7	chr2:210017559-210019673	RPE	cryptic	0.000151
clu_90266_+	18	chr3:53161428-53178415	PRKCD	cryptic	0.000153
clu_20799_-	5	chr3:113267137-113294687	CFAP44	cryptic	0.000155
clu_16630_-	7	chr8:99887618-99893639	COX6C	cryptic	0.000155
clu_140803_+	2	chr10:91460565-91461337	HECTD2	cryptic	0.000156
clu_95098_-	15	chr17:15438200-15545785	TVP23C	cryptic	0.00016
clu_156598_+	3	chr11:8914930-8919337	AKIP1	annotated	0.000161
clu_31353_+	3	chr20:9516361-9529642	LAMP5	cryptic	0.000164
clu_171572_-	3	chr4:150916738-150928516	LRBA	cryptic	0.000164
clu_167897_-	6	chr7:98856183-98869777	TMEM130	cryptic	0.000164
clu_48714_+	6	chr12:8188535-8194420	FAM66C	annotated	0.00017
clu_62240_+	15	chr1:155060343-155062245	ADAM15	cryptic	0.000175
clu_148080_+	7	chr2:101859864-101864930	MAP4K4	cryptic	0.000178
clu_64496_+	5	chr1:243304777-243307989	SDCCAG8	cryptic	0.00018
clu_33499_-	6	chr16:10763763-10770272	TVP23A	cryptic	0.00018
clu_83921_+	5	chr9:94259345-94278758	ZNF169	cryptic	0.000182
clu_20233_-	2	chr3:58517423-58522496	ACOX2	cryptic	0.000183
clu_136424_-	26	chr1:121817391-122190678	.	annotated	0.000187
clu_141239_+	7	chr10:102461450-102468955	MFSD13A	cryptic	0.000188
clu_154148_+	15	chr14:41608562-41886606	LRFN5	cryptic	0.000189
clu_33622_-	6	chr16:15104408-15363916	.	annotated	0.00019
clu_34927_-	2	chr16:69748329-69748951	NOB1	annotated	0.000198
clu_162953_+	3	chr17:16382032-16382489	.	annotated	0.000198
clu_11884_-	10	chr15:77252526-77286423	PEAK1	cryptic	0.000201
clu_35414_-	4	chr16:84135605-84145080	HSDL1	annotated	0.000202
clu_53491_-	5	chr2:27099840-27102097	CGREF1	cryptic	0.000202
clu_139149_-	5	chr1:245929937-246327201	SMYD3	cryptic	0.000203
clu_5935_-	7	chr11:64223967-64224285	TRPT1	cryptic	0.000205
clu_26269_-	14	chr5:70203965-70258882	RP11-1415C14.3	cryptic	0.000206
clu_12086_-	5	chr15:84538616-84542163	UBE2Q2P1	cryptic	0.000209
clu_149311_+	9	chr2:189689964-189706938	ANKAR	cryptic	0.000213
clu_105372_?	28	chr12:124911743-124913568	.	annotated	0.000219
clu_21246_-	7	chr3:129393795-129399381	RPL32P3	cryptic	0.000219
clu_66802_-	3	chr19:897540-899440	R3HDM4	cryptic	0.000221
clu_89891_+	3	chr3:48460799-48463745	ATRIP	annotated	0.000223
clu_143146_+	3	chr15:51377500-51383785	GLDN	annotated	0.000224
clu_48631_+	3	chr12:6873781-6883704	RPL13P5	annotated	0.00023
clu_45321_-	5	chr9:121569-123217	CBWD1	cryptic	0.00023
clu_83313_+	33	chr9:41358135-41705454	.	annotated	0.000235
clu_121118_+	3	chr4:158211574-158212608	TMEM144	annotated	0.000237
clu_15262_-	2	chr8:3493726-3574945	CSMD1	annotated	0.000238
clu_97315_-	9	chr17:74963078-74972838	HID1	cryptic	0.000239
clu_80800_-	2	chr14:22905221-22905336	RBM23	annotated	0.00024
clu_55706_-	18	chr2:131472182-131492992	MZT2A	cryptic	0.00024
clu_3918_-	6	chr22:43069844-43075474	TTLL1	cryptic	0.00024
clu_61743_+	10	chr1:147928578-147938714	GPR89B	cryptic	0.000243
clu_81103_-	3	chr14:31428188-31453275	DTD2	cryptic	0.000246
clu_56269_-	6	chr2:174481987-174486873	GPR155	annotated	0.000246
clu_61994_+	4	chr1:151107222-151117957	GABPB2	cryptic	0.00025
clu_6589_-	3	chr11:75606004-75608109	MAP6	cryptic	0.00025
clu_170654_-	14	chr4:75911353-75919909	NAAA	cryptic	0.000251
clu_31195_+	5	chr20:3811741-3822102	AP5S1	annotated	0.000252
clu_19048_-	4	chr3:14946154-14948013	FGD5-AS1	cryptic	0.000252
clu_152426_-	3	chr6:104849246-104850907	HACE1	cryptic	0.000252
clu_127705_-	2	chr12:120136732-120137206	GCN1	cryptic	0.000256
clu_47116_-	2	chr9:112143623-112149244	SUSD1	annotated	0.000267
clu_6875_-	3	chr11:96387613-96389844	CCDC82	cryptic	0.00027
clu_60514_+	8	chr1:84548964-84565861	SPATA1	cryptic	0.000276
clu_130633_+	4	chr19:34305024-34402042	.	annotated	0.00028
clu_164132_+	3	chr17:42610220-42660149	TUBG1	cryptic	0.000289
clu_45115_+	31	chr21:44409522-44411000	.	annotated	0.00029
clu_3905_-	3	chr22:42808890-42817142	ARFGAP3	annotated	0.00029
clu_71393_+	2	chr22:25025784-25028105	KIAA1671	cryptic	0.00029
clu_27797_-	15	chr5:174976532-175106296	LINC01951	cryptic	0.000296
clu_121117_+	2	chr4:158210586-158211459	TMEM144	annotated	0.000299
clu_170463_-	14	chr4:55245889-55311799	.	annotated	0.000306
clu_15349_-	28	chr8:8101218-8220044	FAM85B	cryptic	0.000311
clu_61798_+	3	chr1:149390922-149430942	NBPF19	cryptic	0.000317
clu_153945_+	3	chr14:30559272-30586718	G2E3	annotated	0.000318
clu_145852_+	3	chr2:9911557-9913159	TAF1B	cryptic	0.000318
clu_12096_-	3	chr15:84653699-84654234	WDR73	annotated	0.000321
clu_85035_+	2	chr9:130471515-130476871	ASS1	cryptic	0.000321
clu_76505_+	3	chr5:70070751-70077019	SMN2	annotated	0.000328
clu_126207_-	3	chr12:53160268-53160763	CSAD	cryptic	0.000329
clu_4845_-	5	chr11:18008076-18012951	SERGEF	annotated	0.00033
clu_89541_+	16	chr3:38496530-38501355	EXOG	cryptic	0.000331
clu_117278_+	2	chr6:52671245-52677087	TMEM14A	cryptic	0.000331
clu_119670_+	16	chr4:16323036-16426365	RP11-446J8.1	cryptic	0.000332
clu_174086_+	2	chr16:22475021-22478691	SMG1P1	cryptic	0.000333
clu_129564_+	6	chr19:16736750-16749139	NWD1	cryptic	0.000349
clu_169986_-	3	chr4:13620067-13627345	BOD1L1	annotated	0.000352
clu_90727_+	2	chr3:100348881-100352404	NIT2	cryptic	0.000355
clu_95262_-	4	chr17:18542187-18543673	CTD-2303H24.2	annotated	0.000361
clu_48472_+	5	chr12:4605086-4610155	DYRK4	cryptic	0.000363
clu_136660_-	3	chr1:145750500-145752978	RNF115	cryptic	0.000366
clu_92938_?	9	chr14:49862651-49862744	.	annotated	0.000366
clu_72132_+	5	chr22:40857245-40868999	XPNPEP3	cryptic	0.000366
clu_187488_+	4	chr7:139169352-139178214	TTC26	cryptic	0.000375
clu_65837_+	4	chrX:101079122-101094573	TMEM35A	cryptic	0.000384
clu_102202_+	3	chr13:75853388-75856506	LMO7	annotated	0.000388
clu_138588_-	2	chr1:222570638-222577445	TAF1A	cryptic	0.000389
clu_98166_?	9	chr5:1576309-1589247	SDHAP3	cryptic	0.000389
clu_362_-	18	chrX:22254065-22389663	PTCHD1-AS	cryptic	0.000389
clu_184974_+	5	chr7:19299381-19304401	.	annotated	0.000393
clu_137929_-	2	chr1:182603339-182611029	RGS16	cryptic	0.000405
clu_172724_-	14	chr21:45496379-45525817	SLC19A1	cryptic	0.000405
clu_16390_-	6	chr8:76858185-76999990	PEX2	cryptic	0.000406
clu_97754_-	17	chr17:81018589-81034565	CTD-2561B21.11	cryptic	0.00041
